😀	grand sourire, large sourire, visage, visage avec large sourire
👍🏼	OK, génial, oui, peau modérément claire, pouce vers le haut, pouce vers le haut : peau modérément claire, super
👍🏽	OK, génial, oui, peau légèrement mate, pouce vers le haut, pouce vers le haut : peau légèrement mate, super
👍🏾	OK, génial, oui, peau modérément foncée, pouce vers le haut, pouce vers le haut : peau modérément foncée, super
👍🏿	OK, génial, oui, peau foncée, pouce vers le haut, pouce vers le haut : peau foncée, super
👎️	non, nul, négatif, pouce vers le bas
👎🏻	non, nul, négatif, peau claire, pouce vers le bas, pouce vers le bas : peau claire
👎🏼	non, nul, négatif, peau modérément claire, pouce vers le bas, pouce vers le bas : peau modérément claire
👎🏽	non, nul, négatif, peau légèrement mate, pouce vers le bas, pouce vers le bas : peau légèrement mate
👎🏾	non, nul, négatif, peau modérément foncée, pouce vers le bas, pouce vers le bas : peau modérément foncée
👎🏿	non, nul, négatif, peau foncée, pouce vers le bas, pouce vers le bas : peau foncée
✊	levé, main, pierre, poing
✊🏻	levé, main, peau claire, pierre, poing, poing levé : peau claire
✊🏼	levé, main, peau modérément claire, pierre, poing, poing levé : peau modérément claire
✊🏽	levé, main, peau légèrement mate, pierre, poing, poing levé : peau légèrement mate
✊🏾	levé, main, peau modérément foncée, pierre, poing, poing levé : peau modérément foncée
✊🏿	levé, main, peau foncée, pierre, poing, poing levé : peau foncée
👊🏻	poing de face : peau claire
👊🏼	coup de poing, main, peau modérément claire, poing, poing de face, poing de face : peau modérément claire
👊🏽	poing de face : peau légèrement mate
👊🏾	coup de poing, main, peau modérément foncée, poing, poing de face, poing de face : peau modérément foncée
👊🏿	poing de face : peau foncée
🤛	gauche, poing, poing à gauche
🤛🏻	gauche, peau claire, poing, poing à gauche, poing à gauche : peau claire
🤛🏼	gauche, peau modérément claire, poing, poing à gauche, poing à gauche : peau modérément claire
🤛🏽	gauche, peau légèrement mate, poing, poing à gauche, poing à gauche : peau légèrement mate
🤛🏾	gauche, peau modérément foncée, poing, poing à gauche, poing à gauche : peau modérément foncée
🤛🏿	gauche, peau foncée, poing, poing à gauche, poing à gauche : peau foncée
🤜	droite, poing, poing à droite
🤜🏻	droite, peau claire, poing, poing à droite, poing à droite : peau claire
🤜🏼	droite, peau modérément claire, poing, poing à droite, poing à droite : peau modérément claire
🤜🏽	droite, peau légèrement mate, poing, poing à droite, poing à droite : peau légèrement mate
🤜🏾	droite, peau modérément foncée, poing, poing à droite, poing à droite : peau modérément foncée
🤜🏿	droite, peau foncée, poing, poing à droite, poing à droite : peau foncée
👏	applaudissements, bravo, main
👏🏻	applaudissements, applaudissements : peau claire, bravo, main, peau claire
👏🏼	applaudissements, applaudissements : peau modérément claire, bravo, main, peau modérément claire
👏🏽	applaudissements, applaudissements : peau légèrement mate, bravo, main, peau légèrement mate
👏🏾	applaudissements, applaudissements : peau modérément foncée, bravo, main, peau modérément foncée
👏🏿	applaudissements, applaudissements : peau foncée, bravo, main, peau foncée
🙌	air, célébration, geste, hourra, levées, mains
🙌🏻	air, célébration, geste, hourra, levées, mains, mains levées : peau claire, peau claire
🙌🏼	air, célébration, geste, hourra, levées, mains, mains levées : peau modérément claire, peau modérément claire
🙌🏽	air, célébration, geste, hourra, levées, mains, mains levées : peau légèrement mate, peau légèrement mate
🙌🏾	air, célébration, geste, hourra, levées, mains, mains levées : peau modérément foncée, peau modérément foncée
🙌🏿	air, célébration, geste, hourra, levées, mains, mains levées : peau foncée, peau foncée
👐	main, mains ouvertes, ouvertes
👐🏻	main, mains ouvertes, mains ouvertes : peau claire, ouvertes, peau claire
👐🏼	main, mains ouvertes, mains ouvertes : peau modérément claire, ouvertes, peau modérément claire
👐🏽	main, mains ouvertes, mains ouvertes : peau légèrement mate, ouvertes, peau légèrement mate
👐🏾	main, mains ouvertes, mains ouvertes : peau modérément foncée, ouvertes, peau modérément foncée
👐🏿	main, mains ouvertes, mains ouvertes : peau foncée, ouvertes, peau foncée
🤲	moins jointes, paume contre paume, paume contre paume doigts vers le haut, prière
