😀	aodann, aodann le gàire, fiamh-ghàire, gàire
🤙🏾	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”, làmh a’ comharradh “Cuir fòn thugam”: tòna meadhanach doilleir a’ chraicinn, tòna meadhanach doilleir a’ chraicinn
🤙🏿	fòn, làmh, làmh a’ comharradh “Cuir fòn thugam”, làmh a’ comharradh “Cuir fòn thugam”: tòna doilleir a’ chraicinn, tòna doilleir a’ chraicinn
👈️	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, làmh, meur, tomhadh
👈🏻	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, druim na làimhe, colgag a’ tomhadh clì: tòna soilleir a’ chraicinn, làmh, meur, tomhadh, tòna soilleir a’ chraicinn
👈🏼	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, druim na làimhe, colgag a’ tomhadh clì: tòna meadhanach soilleir a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach soilleir a’ chraicinn
👈🏽	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, druim na làimhe, colgag a’ tomhadh clì: tòna meadhanach a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach a’ chraicinn
👈🏾	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, druim na làimhe, colgag a’ tomhadh clì: tòna meadhanach doilleir a’ chraicinn, làmh, meur, tomhadh, tòna meadhanach doilleir a’ chraicinn
👈🏿	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh clì, druim na làimhe, colgag a’ tomhadh clì: tòna doilleir a’ chraicinn, làmh, meur, tomhadh, tòna doilleir a’ chraicinn
👉️	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, làmh, meur, tomhadh
👉🏻	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh deas, druim na làimhe, colgag a’ tomhadh deas: tòna soilleir a’ chraicinn, làmh, meur, tomhadh, tòna soilleir a’ chraicinn
