😀	अनुहार, रमाएको अनुहार, हँसिलो
🤚🏽	उठेको, छालाको प्रकार-४, पछाडिबाट उठेको हात, पछाडिबाट उठेको हात: छालाको प्रकार-४, हातको पछाडि पाटो
🤚🏾	उठेको, छालाको प्रकार-५, पछाडिबाट उठेको हात, पछाडिबाट उठेको हात: छालाको प्रकार-५, हातको पछाडि पाटो
🤚🏿	उठेको, छालाको प्रकार-६, पछाडिबाट उठेको हात, पछाडिबाट उठेको हात: छालाको प्रकार-६, हातको पछाडि पाटो
🖐️	औंला, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, शरीर, हात
🖐🏻	औंला, छालाको प्रकार-१-२, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-१-२, शरीर, हात
🖐🏼	औंला, छालाको प्रकार-३, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-३, शरीर, हात
🖐🏽	औंला, छालाको प्रकार-४, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-४, शरीर, हात
🖐🏾	औंला, छालाको प्रकार-५, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-५, शरीर, हात
🖐🏿	औंला, छालाको प्रकार-६, फैलाएको, फैलाएको औंलाहरूसहित उठाइएका हात, फैलाएको औंलाहरूसहित उठाइएका हात: छालाको प्रकार-६, शरीर, हात
✋	उठाइएको हात, शरीर, हात
✋🏻	उठाइएको हात, उठाइएको हात: छालाको प्रकार-१-२, छालाको प्रकार-१-२, शरीर, हात
✋🏼	उठाइएको हात, उठाइएको हात: छालाको प्रकार-३, छालाको प्रकार-३, शरीर, हात
✋🏽	उठाइएको हात, उठाइएको हात: छालाको प्रकार-४, छालाको प्रकार-४, शरीर, हात
✋🏾	उठाइएको हात, उठाइएको हात: छालाको प्रकार-५, छालाको प्रकार-५, शरीर, हात
✋🏿	उठाइएको हात, उठाइएको हात: छालाको प्रकार-६, छालाको प्रकार-६, शरीर, हात
🖖	औंला, बल्कन, बल्कन सलामी, शरीर, सलामी, हात
🖖🏻	औंला, छालाको प्रकार-१-२, बल्कन, बल्कन सलामी: छालाको प्रकार-१-२, शरीर, सलामी, हात
🖖🏼	औंला, छालाको प्रकार-३, बल्कन, बल्कन सलामी: छालाको प्रकार-३, शरीर, सलामी, हात
🖖🏽	औंला, छालाको प्रकार-४, बल्कन, बल्कन सलामी: छालाको प्रकार-४, शरीर, सलामी, हात
🖖🏾	औंला, छालाको प्रकार-५, बल्कन, बल्कन सलामी: छालाको प्रकार-५, शरीर, सलामी, हात
🖖🏿	औंला, छालाको प्रकार-६, बल्कन, बल्कन सलामी: छालाको प्रकार-६, शरीर, सलामी, हात
👌	ठीक, ठीक छ जनाउने औंला, शरीर, हात
👌🏻	छालाको प्रकार-१-२, ठीक, ठीक छ जनाउने औंला, ठीक छ जनाउने औंला: छालाको प्रकार-१-२, शरीर, हात
👌🏼	छालाको प्रकार-३, ठीक, ठीक छ जनाउने औंला, ठीक छ जनाउने औंला: छालाको प्रकार-३, शरीर, हात
👌🏽	छालाको प्रकार-४, ठीक, ठीक छ जनाउने औंला, ठीक छ जनाउने औंला: छालाको प्रकार-४, शरीर, हात
👌🏾	छालाको प्रकार-५, ठीक, ठीक छ जनाउने औंला, ठीक छ जनाउने औंला: छालाको प्रकार-५, शरीर, हात
👌🏿	छालाको प्रकार-६, ठीक, ठीक छ जनाउने औंला, ठीक छ जनाउने औंला: छालाको प्रकार-६, शरीर, हात
🤏	चिमोट्ने हात, थोरै मात्रा
🤏🏻	चिमोट्ने हात, चिमोट्ने हात: छालाको प्रकार-१-२, छालाको प्रकार-१-२, थोरै मात्रा
🤏🏼	चिमोट्ने हात, चिमोट्ने हात: छालाको प्रकार-३, छालाको प्रकार-३, थोरै मात्रा
🤏🏽	चिमोट्ने हात, चिमोट्ने हात: छालाको प्रकार-४, छालाको प्रकार-४, थोरै मात्रा
🤏🏾	चिमोट्ने हात, चिमोट्ने हात: छालाको प्रकार-५, छालाको प्रकार-५, थोरै मात्रा
🤏🏿	चिमोट्ने हात, चिमोट्ने हात: छालाको प्रकार-६, छालाको प्रकार-६, थोरै मात्रा
✌️	जित जनाउने औंला, भी, विजयी, शरीर, हात
✌🏻	छालाको प्रकार-१-२, जित जनाउने औंला, जित जनाउने औंला: छालाको प्रकार-१-२, भी, विजयी, शरीर, हात
✌🏼	छालाको प्रकार-३, जित जनाउने औंला, जित जनाउने औंला: छालाको प्रकार-३, भी, विजयी, शरीर, हात
✌🏽	छालाको प्रकार-४, जित जनाउने औंला, जित जनाउने औंला: छालाको प्रकार-४, भी, विजयी, शरीर, हात
✌🏾	छालाको प्रकार-५, जित जनाउने औंला, जित जनाउने औंला: छालाको प्रकार-५, भी, विजयी, शरीर, हात
✌🏿	छालाको प्रकार-६, जित जनाउने औंला, जित जनाउने औंला: छालाको प्रकार-६, भी, विजयी, शरीर, हात
🤞	औंला, काट्नु, प्रार्थना गरिरहेको मुद्रा, भाग्य, हात
🤞🏻	औंला, काट्नु, छालाको प्रकार-१-२, प्रार्थना गरिरहेको मुद्रा, प्रार्थना गरिरहेको मुद्रा: छालाको प्रकार-१-२, भाग्य, हात
🤞🏼	औंला, काट्नु, छालाको प्रकार-३, प्रार्थना गरिरहेको मुद्रा, प्रार्थना गरिरहेको मुद्रा: छालाको प्रकार-३, भाग्य, हात
🤞🏽	औंला, काट्नु, छालाको प्रकार-४, प्रार्थना गरिरहेको मुद्रा, प्रार्थना गरिरहेको मुद्रा: छालाको प्रकार-४, भाग्य, हात
