😀	cara, cara moi riseira, sorriso
👉🏾	dedo, dereita, man, ton de pel escuro, índice, índice apuntando á dereita, índice apuntando á dereita: ton de pel escuro
👉🏿	dedo, dereita, man, ton de pel moi escuro, índice, índice apuntando á dereita, índice apuntando á dereita: ton de pel moi escuro
👆️	arriba, dedo índice apuntando cara arriba, man, índice
👆🏻	arriba, dedo índice apuntando cara arriba, dedo índice apuntando cara arriba: ton de pel moi claro, man, ton de pel moi claro, índice
👆🏼	arriba, dedo índice apuntando cara arriba, dedo índice apuntando cara arriba: ton de pel claro, man, ton de pel claro, índice
👆🏽	arriba, dedo índice apuntando cara arriba, dedo índice apuntando cara arriba: ton de pel medio, man, ton de pel medio, índice
👆🏾	arriba, dedo índice apuntando cara arriba, dedo índice apuntando cara arriba: ton de pel escuro, man, ton de pel escuro, índice
👆🏿	arriba, dedo índice apuntando cara arriba, dedo índice apuntando cara arriba: ton de pel moi escuro, man, ton de pel moi escuro, índice
🖕	dedo, dedo do medio levantado, insulto, man, ofensivo
🖕🏻	dedo, dedo do medio levantado, dedo do medio levantado: ton de pel moi claro, insulto, man, ofensivo, ton de pel moi claro
🖕🏼	dedo, dedo do medio levantado, dedo do medio levantado: ton de pel claro, insulto, man, ofensivo, ton de pel claro
🖕🏽	dedo, dedo do medio levantado, dedo do medio levantado: ton de pel medio, insulto, man, ofensivo, ton de pel medio
🖕🏾	dedo, dedo do medio levantado, dedo do medio levantado: ton de pel escuro, insulto, man, ofensivo, ton de pel escuro
🖕🏿	dedo, dedo do medio levantado, dedo do medio levantado: ton de pel moi escuro, insulto, man, ofensivo, ton de pel moi escuro
👇️	abaixo, dedo, dedo apuntando cara abaixo, man
👇🏻	abaixo, dedo, dedo apuntando cara abaixo, dedo apuntando cara abaixo: ton de pel moi claro, man, ton de pel moi claro
👇🏼	abaixo, dedo, dedo apuntando cara abaixo, dedo apuntando cara abaixo: ton de pel claro, man, ton de pel claro
👇🏽	abaixo, dedo, dedo apuntando cara abaixo, dedo apuntando cara abaixo: ton de pel medio, man, ton de pel medio
👇🏾	abaixo, dedo, dedo apuntando cara abaixo, dedo apuntando cara abaixo: ton de pel escuro, man, ton de pel escuro
👇🏿	abaixo, dedo, dedo apuntando cara abaixo, dedo apuntando cara abaixo: ton de pel moi escuro, man, ton de pel moi escuro
☝️	advertencia, arriba, man, índice, índice apuntando cara arriba
☝🏻	advertencia, arriba, man, ton de pel moi claro, índice, índice apuntando cara arriba, índice apuntando cara arriba: ton de pel moi claro
☝🏼	advertencia, arriba, man, ton de pel claro, índice, índice apuntando cara arriba, índice apuntando cara arriba: ton de pel claro
☝🏽	advertencia, arriba, man, ton de pel medio, índice, índice apuntando cara arriba, índice apuntando cara arriba: ton de pel medio
☝🏾	advertencia, arriba, man, ton de pel escuro, índice, índice apuntando cara arriba, índice apuntando cara arriba: ton de pel escuro
☝🏿	advertencia, arriba, man, ton de pel moi escuro, índice, índice apuntando cara arriba, índice apuntando cara arriba: ton de pel moi escuro
👍️	+1, gústame, man, polgar, polgar cara arriba
👍🏻	+1, gústame, man, polgar, polgar cara arriba, polgar cara arriba: ton de pel moi claro, ton de pel moi claro
👍🏼	+1, gústame, man, polgar, polgar cara arriba, polgar cara arriba: ton de pel claro, ton de pel claro
👍🏽	+1, gústame, man, polgar, polgar cara arriba, polgar cara arriba: ton de pel medio, ton de pel medio
👍🏾	+1, gústame, man, polgar, polgar cara arriba, polgar cara arriba: ton de pel escuro, ton de pel escuro
👍🏿	+1, gústame, man, polgar, polgar cara arriba, polgar cara arriba: ton de pel moi escuro, ton de pel moi escuro
👎️	man, non me gusta, polgar, polgar cara abaixo
👎🏻	man, non me gusta, polgar, polgar cara abaixo, polgar cara abaixo: ton de pel moi claro, ton de pel moi claro
👎🏼	man, non me gusta, polgar, polgar cara abaixo, polgar cara abaixo: ton de pel claro, ton de pel claro
👎🏽	man, non me gusta, polgar, polgar cara abaixo, polgar cara abaixo: ton de pel medio, ton de pel medio
👎🏾	man, non me gusta, polgar, polgar cara abaixo, polgar cara abaixo: ton de pel escuro, ton de pel escuro
👎🏿	man, non me gusta, polgar, polgar cara abaixo, polgar cara abaixo: ton de pel moi escuro, ton de pel moi escuro
✊	arriba, loita, puño, puño en alto
✊🏻	arriba, loita, puño, puño en alto, puño en alto: ton de pel moi claro, ton de pel moi claro
✊🏼	arriba, loita, puño, puño en alto, puño en alto: ton de pel claro, ton de pel claro
✊🏽	arriba, loita, puño, puño en alto, puño en alto: ton de pel medio, ton de pel medio
✊🏾	arriba, loita, puño, puño en alto, puño en alto: ton de pel escuro, ton de pel escuro
✊🏿	arriba, loita, puño, puño en alto, puño en alto: ton de pel moi escuro, ton de pel moi escuro
👊	golpe, puñada, puño
👊🏻	golpe, puñada, puñada: ton de pel moi claro, puño, ton de pel moi claro
👊🏼	golpe, puñada, puñada: ton de pel claro, puño, ton de pel claro
👊🏽	golpe, puñada, puñada: ton de pel medio, puño, ton de pel medio
👊🏾	golpe, puñada, puñada: ton de pel escuro, puño, ton de pel escuro
👊🏿	golpe, puñada, puñada: ton de pel moi escuro, puño, ton de pel moi escuro
🤛	esquerda, man, puño, puño cara á esquerda
🤛🏻	esquerda, man, puño, puño cara á esquerda, puño cara á esquerda: ton de pel moi claro, ton de pel moi claro
🤛🏼	esquerda, man, puño, puño cara á esquerda, puño cara á esquerda: ton de pel claro, ton de pel claro
🤛🏽	esquerda, man, puño, puño cara á esquerda, puño cara á esquerda: ton de pel medio, ton de pel medio
🤛🏾	esquerda, man, puño, puño cara á esquerda, puño cara á esquerda: ton de pel escuro, ton de pel escuro
🤛🏿	esquerda, man, puño, puño cara á esquerda, puño cara á esquerda: ton de pel moi escuro, ton de pel moi escuro
🤜	dereita, man, puño, puño cara á dereita
🤜🏻	dereita, man, puño, puño cara á dereita, puño cara á dereita: ton de pel moi claro, ton de pel moi claro
🤜🏼	dereita, man, puño, puño cara á dereita, puño cara á dereita: ton de pel claro, ton de pel claro
🤜🏽	dereita, man, puño, puño cara á dereita, puño cara á dereita: ton de pel medio, ton de pel medio
🤜🏾	dereita, man, puño, puño cara á dereita, puño cara á dereita: ton de pel escuro, ton de pel escuro
🤜🏿	dereita, man, puño, puño cara á dereita, puño cara á dereita: ton de pel moi escuro, ton de pel moi escuro
👏	aplaudir, aplauso, mans, mans aplaudindo
👏🏻	aplaudir, aplauso, mans, mans aplaudindo, mans aplaudindo: ton de pel moi claro, ton de pel moi claro
👏🏼	aplaudir, aplauso, mans, mans aplaudindo, mans aplaudindo: ton de pel claro, ton de pel claro
👏🏽	aplaudir, aplauso, mans, mans aplaudindo, mans aplaudindo: ton de pel medio, ton de pel medio
👏🏾	aplaudir, aplauso, mans, mans aplaudindo, mans aplaudindo: ton de pel escuro, ton de pel escuro
👏🏿	aplaudir, aplauso, mans, mans aplaudindo, mans aplaudindo: ton de pel moi escuro, ton de pel moi escuro
🙌	celebración, chocar, mans, mans levantadas, xesto
🙌🏻	celebración, chocar, mans, mans levantadas, mans levantadas: ton de pel moi claro, ton de pel moi claro, xesto
🙌🏼	celebración, chocar, mans, mans levantadas, mans levantadas: ton de pel claro, ton de pel claro, xesto
🙌🏽	celebración, chocar, mans, mans levantadas, mans levantadas: ton de pel medio, ton de pel medio, xesto
🙌🏾	celebración, chocar, mans, mans levantadas, mans levantadas: ton de pel escuro, ton de pel escuro, xesto
🙌🏿	celebración, chocar, mans, mans levantadas, mans levantadas: ton de pel moi escuro, ton de pel moi escuro, xesto
👐	abertas, mans, mans abertas
👐🏻	abertas, mans, mans abertas: ton de pel moi claro, ton de pel moi claro
👐🏼	abertas, mans, mans abertas: ton de pel claro, ton de pel claro
👐🏽	abertas, mans, mans abertas: ton de pel medio, ton de pel medio
👐🏾	abertas, mans, mans abertas: ton de pel escuro, ton de pel escuro
👐🏿	abertas, mans, mans abertas: ton de pel moi escuro, ton de pel moi escuro
🤲	palmas, palmas xuntas, xuntas
🤲🏻	palmas, palmas xuntas: ton de pel moi claro, ton de pel moi claro, xuntas
🤲🏼	palmas, palmas xuntas: ton de pel claro, ton de pel claro, xuntas
🤲🏽	palmas, palmas xuntas: ton de pel medio, ton de pel medio, xuntas
🤲🏾	palmas, palmas xuntas: ton de pel escuro, ton de pel escuro, xuntas
🤲🏿	palmas, palmas xuntas: ton de pel moi escuro, ton de pel moi escuro, xuntas
🤝	aperta, aperta de mans, mans, trato
🙏	favor, mans, mans en oración, rezar
🙏🏻	favor, mans, mans en oración, mans en oración: ton de pel moi claro, rezar, ton de pel moi claro
🙏🏼	favor, mans, mans en oración, mans en oración: ton de pel claro, rezar, ton de pel claro
🙏🏽	favor, mans, mans en oración, mans en oración: ton de pel medio, rezar, ton de pel medio
🙏🏾	favor, mans, mans en oración, mans en oración: ton de pel escuro, rezar, ton de pel escuro
🙏🏿	favor, mans, mans en oración, mans en oración: ton de pel moi escuro, rezar, ton de pel moi escuro
✍️	bolígrafo, escribir, lapis, man, man escribindo
