😀	guyu, rai, rai ngguyu
👉🏾	driji, driji panuduh, geger tangan, geger tangan nuding nengen, geger tangan nuding nengen: kulit sawo mateng, kulit sawo mateng, nuding, tangan
👉🏿	driji, driji panuduh, geger tangan, geger tangan nuding nengen, geger tangan nuding nengen: kulit ireng, kulit ireng, nuding, tangan
👆️	driji, geger tangan, geger tangan nuding ndhuwur, ndhuwur, nuding, tangan
👆🏻	driji, geger tangan, geger tangan nuding ndhuwur, geger tangan nuding ndhuwur: kulit putih, kulit putih, ndhuwur, nuding, tangan
👆🏼	driji, geger tangan, geger tangan nuding ndhuwur, geger tangan nuding ndhuwur: kulit putih langsep, kulit putih langsep, ndhuwur, nuding, tangan
👆🏽	driji, geger tangan, geger tangan nuding ndhuwur, geger tangan nuding ndhuwur: kulit kuning, kulit kuning, ndhuwur, nuding, tangan
👆🏾	driji, geger tangan, geger tangan nuding ndhuwur, geger tangan nuding ndhuwur: kulit sawo mateng, kulit sawo mateng, ndhuwur, nuding, tangan
👆🏿	driji, geger tangan, geger tangan nuding ndhuwur, geger tangan nuding ndhuwur: kulit ireng, kulit ireng, ndhuwur, nuding, tangan
🖕	driji, driji tengah, tangan
🖕🏻	driji, driji tengah, driji tengah: kulit putih, kulit putih, tangan
🖕🏼	driji, driji tengah, driji tengah: kulit putih langsep, kulit putih langsep, tangan
🖕🏽	driji, driji tengah, driji tengah: kulit kuning, kulit kuning, tangan
🖕🏾	driji, driji tengah, driji tengah: kulit sawo mateng, kulit sawo mateng, tangan
🖕🏿	driji, driji tengah, driji tengah: kulit ireng, kulit ireng, tangan
👇️	driji, geger tangan, geger tangan nuding ngisor, ngisor, nuding, tangan
👇🏻	driji, geger tangan, geger tangan nuding ngisor, geger tangan nuding ngisor: kulit putih, kulit putih, ngisor, nuding, tangan
👇🏼	driji, geger tangan, geger tangan nuding ngisor, geger tangan nuding ngisor: kulit putih langsep, kulit putih langsep, ngisor, nuding, tangan
👇🏽	driji, geger tangan, geger tangan nuding ngisor, geger tangan nuding ngisor: kulit kuning, kulit kuning, ngisor, nuding, tangan
👇🏾	driji, geger tangan, geger tangan nuding ngisor, geger tangan nuding ngisor: kulit sawo mateng, kulit sawo mateng, ngisor, nuding, tangan
👇🏿	driji, geger tangan, geger tangan nuding ngisor, geger tangan nuding ngisor: kulit ireng, kulit ireng, ngisor, nuding, tangan
☝️	driji, driji panuduh, driji panuduh ngacung, ngacung, nuding, tangan
☝🏻	driji, driji panuduh, driji panuduh ngacung, driji panuduh ngacung: kulit putih, kulit putih, ngacung, nuding, tangan
☝🏼	driji, driji panuduh, driji panuduh ngacung, driji panuduh ngacung: kulit putih langsep, kulit putih langsep, ngacung, nuding, tangan
☝🏽	driji, driji panuduh, driji panuduh ngacung, driji panuduh ngacung: kulit kuning, kulit kuning, ngacung, nuding, tangan
☝🏾	driji, driji panuduh, driji panuduh ngacung, driji panuduh ngacung: kulit sawo mateng, kulit sawo mateng, ngacung, nuding, tangan
☝🏿	driji, driji panuduh, driji panuduh ngacung, driji panuduh ngacung: kulit ireng, kulit ireng, ngacung, nuding, tangan
👍️	+1, jempol, jempol ngacung, ngacung, tangan
👍🏻	+1, jempol, jempol ngacung: kulit putih, kulit putih, ngacung, tangan
👍🏼	+1, jempol, jempol ngacung: kulit putih langsep, kulit putih langsep, ngacung, tangan
👍🏽	+1, jempol, jempol ngacung: kulit kuning, kulit kuning, ngacung, tangan
👍🏾	+1, jempol, jempol ngacung: kulit sawo mateng, kulit sawo mateng, ngacung, tangan
👍🏿	+1, jempol, jempol ngacung: kulit ireng, kulit ireng, ngacung, tangan
👎️	-1, jempol, jempol ngacung mudhun, ngacung mudhun, tangan
👎🏻	-1, jempol, jempol ngacung mudhun, jempol ngacung mudhun: kulit putih, kulit putih, ngacung mudhun, tangan
👎🏼	-1, jempol, jempol ngacung mudhun, jempol ngacung mudhun: kulit putih langsep, kulit putih langsep, ngacung mudhun, tangan
👎🏽	-1, jempol, jempol ngacung mudhun, jempol ngacung mudhun: kulit kuning, kulit kuning, ngacung mudhun, tangan
👎🏾	-1, jempol, jempol ngacung mudhun, jempol ngacung mudhun: kulit sawo mateng, kulit sawo mateng, ngacung mudhun, tangan
👎🏿	-1, jempol, jempol ngacung mudhun, jempol ngacung mudhun: kulit ireng, kulit ireng, ngacung mudhun, tangan
✊	kepel, ngacungake kepel, ngantem, nggegem, tangan
✊🏻	kepel, kulit putih, ngacungake kepel, ngacungake kepel: kulit putih, ngantem, nggegem, tangan
✊🏼	kepel, kulit putih langsep, ngacungake kepel, ngacungake kepel: kulit putih langsep, ngantem, nggegem, tangan
✊🏽	kepel, kulit kuning, ngacungake kepel, ngacungake kepel: kulit kuning, ngantem, nggegem, tangan
✊🏾	kepel, kulit sawo mateng, ngacungake kepel, ngacungake kepel: kulit sawo mateng, ngantem, nggegem, tangan
✊🏿	kepel, kulit ireng, ngacungake kepel, ngacungake kepel: kulit ireng, ngantem, nggegem, tangan
👊	kepel, kepel mara, ngantem, nggegem, tangan
👊🏻	kepel, kepel mara, kepel mara: kulit putih, kulit putih, ngantem, nggegem, tangan
👊🏼	kepel, kepel mara, kepel mara: kulit putih langsep, kulit putih langsep, ngantem, nggegem, tangan
👊🏽	kepel, kepel mara, kepel mara: kulit kuning, kulit kuning, ngantem, nggegem, tangan
👊🏾	kepel, kepel mara, kepel mara: kulit sawo mateng, kulit sawo mateng, ngantem, nggegem, tangan
👊🏿	kepel, kepel mara, kepel mara: kulit ireng, kulit ireng, ngantem, nggegem, tangan
🤛	kepel, kepel katon saka sisih kiwa, sisih kiwa
🤛🏻	kepel, kepel katon saka sisih kiwa, kepel katon saka sisih kiwa: kulit putih, kulit putih, sisih kiwa
🤛🏼	kepel, kepel katon saka sisih kiwa, kepel katon saka sisih kiwa: kulit putih langsep, kulit putih langsep, sisih kiwa
🤛🏽	kepel, kepel katon saka sisih kiwa, kepel katon saka sisih kiwa: kulit kuning, kulit kuning, sisih kiwa
🤛🏾	kepel, kepel katon saka sisih kiwa, kepel katon saka sisih kiwa: kulit sawo mateng, kulit sawo mateng, sisih kiwa
🤛🏿	kepel, kepel katon saka sisih kiwa, kepel katon saka sisih kiwa: kulit ireng, kulit ireng, sisih kiwa
🤜	kepel, kepel katon saka sisih tengen, sisih tengen
🤜🏻	kepel, kepel katon saka sisih tengen, kepel katon saka sisih tengen: kulit putih, kulit putih, sisih tengen
🤜🏼	kepel, kepel katon saka sisih tengen, kepel katon saka sisih tengen: kulit putih langsep, kulit putih langsep, sisih tengen
🤜🏽	kepel, kepel katon saka sisih tengen, kepel katon saka sisih tengen: kulit kuning, kulit kuning, sisih tengen
🤜🏾	kepel, kepel katon saka sisih tengen, kepel katon saka sisih tengen: kulit sawo mateng, kulit sawo mateng, sisih tengen
🤜🏿	kepel, kepel katon saka sisih tengen, kepel katon saka sisih tengen: kulit ireng, kulit ireng, sisih tengen
👏	keplok, tangan, tangan keplok-keplok
👏🏻	keplok, kulit putih, tangan, tangan keplok-keplok, tangan keplok-keplok: kulit putih
👏🏼	keplok, kulit putih langsep, tangan, tangan keplok-keplok, tangan keplok-keplok: kulit putih langsep
👏🏽	keplok, kulit kuning, tangan, tangan keplok-keplok, tangan keplok-keplok: kulit kuning
👏🏾	keplok, kulit sawo mateng, tangan, tangan keplok-keplok, tangan keplok-keplok: kulit sawo mateng
👏🏿	keplok, kulit ireng, tangan, tangan keplok-keplok, tangan keplok-keplok: kulit ireng
🙌	diangkat, hore, isarat, pista, tangan, tangan loro diangkat
🙌🏻	diangkat, hore, isarat, kulit putih, pista, tangan, tangan loro diangkat, tangan loro diangkat: kulit putih
🙌🏼	diangkat, hore, isarat, kulit putih langsep, pista, tangan, tangan loro diangkat, tangan loro diangkat: kulit putih langsep
🙌🏽	diangkat, hore, isarat, kulit kuning, pista, tangan, tangan loro diangkat, tangan loro diangkat: kulit kuning
🙌🏾	diangkat, hore, isarat, kulit sawo mateng, pista, tangan, tangan loro diangkat, tangan loro diangkat: kulit sawo mateng
🙌🏿	diangkat, hore, isarat, kulit ireng, pista, tangan, tangan loro diangkat, tangan loro diangkat: kulit ireng
👐	mlumah, tangan, tangan loro mlumah
👐🏻	kulit putih, mlumah, tangan, tangan loro mlumah, tangan loro mlumah: kulit putih
👐🏼	kulit putih langsep, mlumah, tangan, tangan loro mlumah, tangan loro mlumah: kulit putih langsep
👐🏽	kulit kuning, mlumah, tangan, tangan loro mlumah, tangan loro mlumah: kulit kuning
👐🏾	kulit sawo mateng, mlumah, tangan, tangan loro mlumah, tangan loro mlumah: kulit sawo mateng
👐🏿	kulit ireng, mlumah, tangan, tangan loro mlumah, tangan loro mlumah: kulit ireng
🤲	ndonga, tangan loro mandho nadhah amin, tangan loro nadhah
🤲🏻	kulit putih, ndonga, tangan loro mandho nadhah amin, tangan loro mandho nadhah amin: kulit putih, tangan loro nadhah
🤲🏼	kulit putih langsep, ndonga, tangan loro mandho nadhah amin, tangan loro mandho nadhah amin: kulit putih langsep, tangan loro nadhah
🤲🏽	kulit kuning, ndonga, tangan loro mandho nadhah amin, tangan loro mandho nadhah amin: kulit kuning, tangan loro nadhah
