😀	cara, cara sonriendo, divertido, feliz, sonrisa
☝🏻	apuntar, arriba, dedo, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel claro, mano, tono de piel claro
☝🏼	apuntar, arriba, dedo, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel claro medio, mano, tono de piel claro medio
☝🏽	apuntar, arriba, dedo, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel medio, mano, tono de piel medio
☝🏾	apuntar, arriba, dedo, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel oscuro medio, mano, tono de piel oscuro medio
☝🏿	apuntar, arriba, dedo, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel oscuro, mano, tono de piel oscuro
👍️	arriba, mano, pulgar, pulgar hacia arriba, señal
👍🏻	arriba, mano, pulgar, pulgar hacia arriba, pulgar hacia arriba: tono de piel claro, señal, tono de piel claro
👍🏼	arriba, mano, pulgar, pulgar hacia arriba, pulgar hacia arriba: tono de piel claro medio, señal, tono de piel claro medio
👍🏽	arriba, mano, pulgar, pulgar hacia arriba, pulgar hacia arriba: tono de piel medio, señal, tono de piel medio
👍🏾	arriba, mano, pulgar, pulgar hacia arriba, pulgar hacia arriba: tono de piel oscuro medio, señal, tono de piel oscuro medio
👍🏿	arriba, mano, pulgar, pulgar hacia arriba, pulgar hacia arriba: tono de piel oscuro, señal, tono de piel oscuro
👎️	abajo, mano, pulgar, pulgar hacia abajo, señal
👎🏻	abajo, mano, pulgar, pulgar hacia abajo, pulgar hacia abajo: tono de piel claro, señal, tono de piel claro
👎🏼	abajo, mano, pulgar, pulgar hacia abajo, pulgar hacia abajo: tono de piel claro medio, señal, tono de piel claro medio
👎🏽	abajo, mano, pulgar, pulgar hacia abajo, pulgar hacia abajo: tono de piel medio, señal, tono de piel medio
👎🏾	abajo, mano, pulgar, pulgar hacia abajo, pulgar hacia abajo: tono de piel oscuro medio, señal, tono de piel oscuro medio
👎🏿	abajo, mano, pulgar, pulgar hacia abajo, pulgar hacia abajo: tono de piel oscuro, señal, tono de piel oscuro
✊	cerrado, mano, puñetazo, puño, puño en alto
✊🏻	cerrado, mano, puñetazo, puño, puño en alto, puño en alto: tono de piel claro, tono de piel claro
✊🏼	cerrado, mano, puñetazo, puño, puño en alto, puño en alto: tono de piel claro medio, tono de piel claro medio
✊🏽	cerrado, mano, puñetazo, puño, puño en alto, puño en alto: tono de piel medio, tono de piel medio
✊🏾	cerrado, mano, puñetazo, puño, puño en alto, puño en alto: tono de piel oscuro medio, tono de piel oscuro medio
✊🏿	cerrado, mano, puñetazo, puño, puño en alto, puño en alto: tono de piel oscuro, tono de piel oscuro
👊	puñetazo, puño, puño cerrado
👊🏻	puñetazo, puño, puño cerrado, puño cerrado: tono de piel claro, tono de piel claro
👊🏼	puñetazo, puño, puño cerrado, puño cerrado: tono de piel claro medio, tono de piel claro medio
👊🏽	puñetazo, puño, puño cerrado, puño cerrado: tono de piel medio, tono de piel medio
👊🏾	puñetazo, puño, puño cerrado, puño cerrado: tono de piel oscuro medio, tono de piel oscuro medio
👊🏿	puñetazo, puño, puño cerrado, puño cerrado: tono de piel oscuro, tono de piel oscuro
🤛	izquierda, puño, puño hacia la izquierda
🤛🏻	izquierda, puño, puño hacia la izquierda, puño hacia la izquierda: tono de piel claro, tono de piel claro
