😀	cara, cara sonriendo, contento, divertido, sonrisa
👈🏿	apuntar, dedo, dorso, mano con dedo índice hacia la izquierda, mano con dedo índice hacia la izquierda: tono de piel oscuro, tono de piel oscuro, índice, índice hacia la izquierda
👉️	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, índice, índice hacia la derecha
👉🏻	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, mano con dedo índice hacia la derecha: tono de piel claro, tono de piel claro, índice, índice hacia la derecha
👉🏼	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, mano con dedo índice hacia la derecha: tono de piel claro medio, tono de piel claro medio, índice, índice hacia la derecha
👉🏽	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, mano con dedo índice hacia la derecha: tono de piel medio, tono de piel medio, índice, índice hacia la derecha
👉🏾	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, mano con dedo índice hacia la derecha: tono de piel oscuro medio, tono de piel oscuro medio, índice, índice hacia la derecha
👉🏿	apuntar, dedo, dorso, mano con dedo índice hacia la derecha, mano con dedo índice hacia la derecha: tono de piel oscuro, tono de piel oscuro, índice, índice hacia la derecha
👆️	apuntar, dedo, mano, señalar, índice
👆🏻	apuntar, dedo, dorso de mano con índice hacia arriba: tono de piel claro, mano, señalar, tono de piel claro, índice
👆🏼	apuntar, dedo, dorso de mano con índice hacia arriba: tono de piel claro medio, mano, señalar, tono de piel claro medio, índice
👆🏽	apuntar, dedo, dorso de mano con índice hacia arriba: tono de piel medio, mano, señalar, tono de piel medio, índice
👆🏾	apuntar, dedo, dorso de mano con índice hacia arriba: tono de piel oscuro medio, mano, señalar, tono de piel oscuro medio, índice
👆🏿	apuntar, dedo, dorso de mano con índice hacia arriba: tono de piel oscuro, mano, señalar, tono de piel oscuro, índice
🖕	dedo, insulto, mano, mano con el dedo medio levantado, medio
🖕🏻	dedo, insulto, mano, mano con el dedo medio levantado, mano con el dedo medio levantado: tono de piel claro, medio, tono de piel claro
🖕🏼	dedo, insulto, mano, mano con el dedo medio levantado, mano con el dedo medio levantado: tono de piel claro medio, medio, tono de piel claro medio
🖕🏽	dedo, insulto, mano, mano con el dedo medio levantado, mano con el dedo medio levantado: tono de piel medio, medio, tono de piel medio
🖕🏾	dedo, insulto, mano, mano con el dedo medio levantado, mano con el dedo medio levantado: tono de piel oscuro medio, medio, tono de piel oscuro medio
🖕🏿	dedo, insulto, mano, mano con el dedo medio levantado, mano con el dedo medio levantado: tono de piel oscuro, medio, tono de piel oscuro
👇️	abajo, apuntar, mano, señalar, índice
👇🏻	abajo, apuntar, dorso de mano con índice hacia abajo: tono de piel claro, mano, señalar, tono de piel claro, índice
👇🏼	abajo, apuntar, dorso de mano con índice hacia abajo: tono de piel claro medio, mano, señalar, tono de piel claro medio, índice
👇🏽	abajo, apuntar, dorso de mano con índice hacia abajo: tono de piel medio, mano, señalar, tono de piel medio, índice
👇🏾	abajo, apuntar, dorso de mano con índice hacia abajo: tono de piel oscuro medio, mano, señalar, tono de piel oscuro medio, índice
👇🏿	abajo, apuntar, dorso de mano con índice hacia abajo: tono de piel oscuro, mano, señalar, tono de piel oscuro, índice
☝️	apuntar, arriba, dedo índice hacia arriba, señalar, índice
☝🏻	apuntar, arriba, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel claro, señalar, tono de piel claro, índice
☝🏼	apuntar, arriba, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel claro medio, señalar, tono de piel claro medio, índice
☝🏽	apuntar, arriba, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel medio, señalar, tono de piel medio, índice
☝🏾	apuntar, arriba, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel oscuro medio, señalar, tono de piel oscuro medio, índice
☝🏿	apuntar, arriba, dedo índice hacia arriba, dedo índice hacia arriba: tono de piel oscuro, señalar, tono de piel oscuro, índice
👍️	+1, OK, de acuerdo, pulgar, señal de OK
👍🏻	+1, OK, de acuerdo, pulgar, pulgar hacia arriba: tono de piel claro, señal de OK, tono de piel claro
👍🏼	+1, OK, de acuerdo, pulgar, pulgar hacia arriba: tono de piel claro medio, señal de OK, tono de piel claro medio
👍🏽	+1, OK, de acuerdo, pulgar, pulgar hacia arriba: tono de piel medio, señal de OK, tono de piel medio
👍🏾	+1, OK, de acuerdo, pulgar, pulgar hacia arriba: tono de piel oscuro medio, señal de OK, tono de piel oscuro medio
👍🏿	+1, OK, de acuerdo, pulgar, pulgar hacia arriba: tono de piel oscuro, señal de OK, tono de piel oscuro
👎️	-1, abajo, desacuerdo, mano, pulgar
👎🏻	-1, abajo, desacuerdo, mano, pulgar, pulgar hacia abajo: tono de piel claro, tono de piel claro
👎🏼	-1, abajo, desacuerdo, mano, pulgar, pulgar hacia abajo: tono de piel claro medio, tono de piel claro medio
👎🏽	-1, abajo, desacuerdo, mano, pulgar, pulgar hacia abajo: tono de piel medio, tono de piel medio
👎🏾	-1, abajo, desacuerdo, mano, pulgar, pulgar hacia abajo: tono de piel oscuro medio, tono de piel oscuro medio
👎🏿	-1, abajo, desacuerdo, mano, pulgar, pulgar hacia abajo: tono de piel oscuro, tono de piel oscuro
✊	puño en alto
✊🏻	puño en alto, puño en alto: tono de piel claro, tono de piel claro
