😀	sourire, visage rieur
👶🏼	bébé, bébé : peau moyennement claire, peau moyennement claire
👶🏽	bébé, bébé : peau légèrement mate, peau légèrement mate
👶🏾	bébé, bébé : peau mate, peau mate
👶🏿	bébé, bébé : peau foncée, peau foncée
🧒	enfant, genre neutre, jeune
🧒🏻	enfant, enfant : peau claire, genre neutre, jeune, peau claire
🧒🏼	enfant, enfant : peau moyennement claire, genre neutre, jeune, peau moyennement claire
🧒🏽	enfant, enfant : peau légèrement mate, genre neutre, jeune, peau légèrement mate
🧒🏾	enfant, enfant : peau mate, genre neutre, jeune, peau mate
🧒🏿	enfant, enfant : peau foncée, genre neutre, jeune, peau foncée
👦	garçon, jeune
👦🏻	garçon, garçon : peau claire, jeune, peau claire
👦🏼	garçon, garçon : peau moyennement claire, jeune, peau moyennement claire
👦🏽	garçon, garçon : peau légèrement mate, jeune, peau légèrement mate
👦🏾	garçon, garçon : peau mate, jeune, peau mate
👦🏿	garçon, garçon : peau foncée, jeune, peau foncée
👧	fille, jeune, vierge, zodiaque
👧🏻	fille, fille : peau claire, jeune, peau claire, vierge, zodiaque
👧🏼	fille, fille : peau moyennement claire, jeune, peau moyennement claire, vierge, zodiaque
👧🏽	fille, fille : peau légèrement mate, jeune, peau légèrement mate, vierge, zodiaque
👧🏾	fille, fille : peau mate, jeune, peau mate, vierge, zodiaque
👧🏿	fille, fille : peau foncée, jeune, peau foncée, vierge, zodiaque
🧑	adulte, genre neutre
🧑🏻	adulte, adulte : peau claire, genre neutre, peau claire
🧑🏼	adulte, adulte : peau moyennement claire, genre neutre, peau moyennement claire
🧑🏽	adulte, adulte : peau légèrement mate, genre neutre, peau légèrement mate
🧑🏾	adulte, adulte : peau mate, genre neutre, peau mate
🧑🏿	adulte, adulte : peau foncée, genre neutre, peau foncée
👱	blond, cheveux, personne blonde
👱🏻	blond, cheveux, peau claire, personne blonde, personne blonde : peau claire
👱🏼	blond, cheveux, peau moyennement claire, personne blonde, personne blonde : peau moyennement claire
👱🏽	blond, cheveux, peau légèrement mate, personne blonde, personne blonde : peau légèrement mate
👱🏾	blond, cheveux, peau mate, personne blonde, personne blonde : peau mate
👱🏿	blond, cheveux, peau foncée, personne blonde, personne blonde : peau foncée
👨	homme
👨🏻	homme, homme : peau claire, peau claire
👨🏼	homme, homme : peau moyennement claire, peau moyennement claire
👨🏽	homme, homme : peau légèrement mate, peau légèrement mate
👨🏾	homme, homme : peau mate, peau mate
👨🏿	homme, homme : peau foncée, peau foncée
🧔	barbe, homme barbu, personne barbue
🧔🏻	barbe, homme barbu, homme barbu : peau claire, peau claire, personne barbue
🧔🏼	barbe, homme barbu, homme barbu : peau moyennement claire, peau moyennement claire, personne barbue
🧔🏽	barbe, homme barbu, homme barbu : peau légèrement mate, peau légèrement mate, personne barbue
