😀	face, grin, grinning face
🧑	adult, gender-neutral, person, unspecified gender
🧑🏻	adult, gender-neutral, light skin tone, person, person: light skin tone, unspecified gender
🧑🏼	adult, gender-neutral, medium-light skin tone, person, person: medium-light skin tone, unspecified gender
🧑🏽	adult, gender-neutral, medium skin tone, person, person: medium skin tone, unspecified gender
🧑🏾	adult, gender-neutral, medium-dark skin tone, person, person: medium-dark skin tone, unspecified gender
🧑🏿	adult, dark skin tone, gender-neutral, person, person: dark skin tone, unspecified gender
👱	blond, blond-haired person, hair, person: blond hair
👱🏻	blond, blond-haired person, hair, light skin tone, person: blond hair, person: light skin tone, blond hair
👱🏼	blond, blond-haired person, hair, medium-light skin tone, person: blond hair, person: medium-light skin tone, blond hair
👱🏽	blond, blond-haired person, hair, medium skin tone, person: blond hair, person: medium skin tone, blond hair
👱🏾	blond, blond-haired person, hair, medium-dark skin tone, person: blond hair, person: medium-dark skin tone, blond hair
👱🏿	blond, blond-haired person, dark skin tone, hair, person: blond hair, person: dark skin tone, blond hair
👨	adult, man
👨🏻	adult, light skin tone, man, man: light skin tone
👨🏼	adult, man, man: medium-light skin tone, medium-light skin tone
👨🏽	adult, man, man: medium skin tone, medium skin tone
👨🏾	adult, man, man: medium-dark skin tone, medium-dark skin tone
👨🏿	adult, dark skin tone, man, man: dark skin tone
🧔	beard, man, man: beard, person
🧔🏻	beard, light skin tone, man, man: beard, man: light skin tone, beard, person
🧔🏼	beard, man, man: beard, man: medium-light skin tone, beard, medium-light skin tone, person
🧔🏽	beard, man, man: beard, man: medium skin tone, beard, medium skin tone, person
🧔🏾	beard, man, man: beard, man: medium-dark skin tone, beard, medium-dark skin tone, person
🧔🏿	beard, dark skin tone, man, man: beard, man: dark skin tone, beard, person
👱‍♂	blond, blond-haired man, hair, man, man: blond hair
👱🏻‍♂	blond, blond-haired man, hair, light skin tone, man, man: blond hair, man: light skin tone, blond hair
👱🏼‍♂	blond, blond-haired man, hair, man, man: blond hair, man: medium-light skin tone, blond hair, medium-light skin tone
👱🏽‍♂	blond, blond-haired man, hair, man, man: blond hair, man: medium skin tone, blond hair, medium skin tone
