😀	aurpegi, barre egiten ari den aurpegia, irribarre
🤘🏻	1–2. mota, adar, adarrak adierazten dituen eskua, adarrak adierazten dituen eskua: 1–2. mota, esku, gorputz, hatz
🤘🏼	3. mota, adar, adarrak adierazten dituen eskua, adarrak adierazten dituen eskua: 3. mota, esku, gorputz, hatz
🤘🏽	adar, adarrak adierazten dituen eskua, adarrak adierazten dituen eskua: bitarteko azal-tonua, bitarteko azal-tonua, esku, gorputz, hatz
🤘🏾	5. mota, adar, adarrak adierazten dituen eskua, adarrak adierazten dituen eskua: 5. mota, esku, gorputz, hatz
🤘🏿	6. mota, adar, adarrak adierazten dituen eskua, adarrak adierazten dituen eskua: 6. mota, esku, gorputz, hatz
🤙	deitu, deitzeko esku-keinua, esku
🤙🏻	1–2. mota, deitu, deitzeko esku-keinua, deitzeko esku-keinua: 1–2. mota, esku
🤙🏼	3. mota, deitu, deitzeko esku-keinua, deitzeko esku-keinua: 3. mota, esku
🤙🏽	bitarteko azal-tonua, deitu, deitzeko esku-keinua, deitzeko esku-keinua: bitarteko azal-tonua, esku
🤙🏾	5. mota, deitu, deitzeko esku-keinua, deitzeko esku-keinua: 5. mota, esku
🤙🏿	6. mota, deitu, deitzeko esku-keinua, deitzeko esku-keinua: 6. mota, esku
👈️	erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👈🏻	1–2. mota, erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, ezkerrera seinalatzen ari den hatz erakuslea: 1–2. mota, hatz, seinalatu
👈🏼	3. mota, erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, ezkerrera seinalatzen ari den hatz erakuslea: 3. mota, hatz, seinalatu
👈🏽	bitarteko azal-tonua, erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, ezkerrera seinalatzen ari den hatz erakuslea: bitarteko azal-tonua, hatz, seinalatu
👈🏾	5. mota, erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, ezkerrera seinalatzen ari den hatz erakuslea: 5. mota, hatz, seinalatu
👈🏿	6. mota, erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, ezkerrera seinalatzen ari den hatz erakuslea: 6. mota, hatz, seinalatu
👉️	erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👉🏻	1–2. mota, erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, eskuinera seinalatzen ari den hatz erakuslea: 1–2. mota, hatz, seinalatu
👉🏼	3. mota, erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, eskuinera seinalatzen ari den hatz erakuslea: 3. mota, hatz, seinalatu
👉🏽	bitarteko azal-tonua, erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, eskuinera seinalatzen ari den hatz erakuslea: bitarteko azal-tonua, hatz, seinalatu
👉🏾	5. mota, erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, eskuinera seinalatzen ari den hatz erakuslea: 5. mota, hatz, seinalatu
👉🏿	6. mota, erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, eskuinera seinalatzen ari den hatz erakuslea: 6. mota, hatz, seinalatu
👆️	erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, hatz, seinalatu
👆🏻	1–2. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, gora seinalatzen ari den hatza: 1–2. mota, hatz, seinalatu
👆🏼	3. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, gora seinalatzen ari den hatza: 3. mota, hatz, seinalatu
👆🏽	bitarteko azal-tonua, erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, gora seinalatzen ari den hatza: bitarteko azal-tonua, hatz, seinalatu
👆🏾	5. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, gora seinalatzen ari den hatza: 5. mota, hatz, seinalatu
👆🏿	6. mota, erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, gora seinalatzen ari den hatza: 6. mota, hatz, seinalatu
🖕	erdiko hatza, esku, gorputz, hatz
