😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
👨🏼‍🦯	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👨🏽‍🦯	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👨🏾‍🦯	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👨🏿‍🦯	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᏍᎦᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩🏻‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩🏼‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩🏽‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩🏾‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👩🏿‍🦯	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ, ᎠᎨᏯ ᏗᎨᏫ ᎦᏅᏍᏓ ᎬᏗ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎬᏴᏍᏗ ᎨᏒᎢ, ᏗᎨᏫ
👨‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏻‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏼‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏽‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏾‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏿‍🦼	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏻‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏼‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏽‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏾‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏿‍🦼	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎠᏂᎩᏍᏗᏍᎩ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏻‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏼‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏽‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏾‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👨🏿‍🦽	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᏍᎦᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏻‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏼‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏽‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏾‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
👩🏿‍🦽	ᎠᎨᏯ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎠᎨᏯ ᎬᏗ ᎦᏆᏙᏗ ᎦᏍᎩᎶ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᏆᏙᏗ ᎦᏍᎩᎶ, ᎬᏴᏍᏗ ᎨᏒᎢ
🏃	ᎠᏛᏟᏒᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ
🏃🏻	ᎠᏛᏟᏒᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ, ᏴᏫ ᎠᏛᏟᏒᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🏃🏼	ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ, ᏴᏫ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🏃🏽	ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ, ᏴᏫ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏃🏾	ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ, ᏴᏫ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏃🏿	ᎠᏛᏟᏒᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ, ᏴᏫ ᎠᏛᏟᏒᎢ, ᏴᏫ ᎠᏛᏟᏒᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏃‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎪᎯᏓ
🏃🏻‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏼‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎪᎯᏓ
🏃🏽‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏾‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏿‍♂	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏛᏟᏒᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎪᎯᏓ
🏃🏻‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏼‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎪᎯᏓ
🏃🏽‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏾‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
🏃🏿‍♀	ᎠᎨᏯ, ᎠᎨᏯ ᎠᏛᏟᏒᎢ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏙᎩᏯ, ᎠᏛᏟᏒᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎪᎯᏓ
💃	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ, ᎠᎵᏍᎩᏍᎩ
💃🏻	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᎵᏍᎩᏍᎩ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
💃🏼	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᎵᏍᎩᏍᎩ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
💃🏽	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᎵᏍᎩᏍᎩ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
💃🏾	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᎵᏍᎩᏍᎩ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
💃🏿	ᎠᎨᏯ, ᎠᎨᏯ ᎠᎵᏍᎩᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᎵᏍᎩᏍᎩ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🕺	ᎠᎵᏍᎩᏍᏗ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ
🕺🏻	ᎠᎵᏍᎩᏍᏗ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🕺🏼	ᎠᎵᏍᎩᏍᏗ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ
🕺🏽	ᎠᎵᏍᎩᏍᏗ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ, ᎠᏍᎦᏯ ᎠᎵᏍᎩᏍᎬ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
