😀	andlit, glott, glottandi andlit
👊🏼	hnefi, hönd, krepptur hnefi, krepptur hnefi: meðalljós húðlitur, kýla, meðalljós húðlitur, samankrepptur hnefi
👊🏽	hnefi, hönd, krepptur hnefi, krepptur hnefi: millihúðlitur, kýla, millihúðlitur, samankrepptur hnefi
👊🏾	hnefi, hönd, krepptur hnefi, krepptur hnefi: meðaldökkur húðlitur, kýla, meðaldökkur húðlitur, samankrepptur hnefi
👊🏿	dökkur húðlitur, hnefi, hönd, krepptur hnefi, krepptur hnefi: dökkur húðlitur, kýla, samankrepptur hnefi
🤛	hnefi, hægri hnefi, hönd, krepptur
🤛🏻	hnefi, hægri hnefi, hægri hnefi: ljós húðlitur, hönd, krepptur, ljós húðlitur
🤛🏼	hnefi, hægri hnefi, hægri hnefi: meðalljós húðlitur, hönd, krepptur, meðalljós húðlitur
🤛🏽	hnefi, hægri hnefi, hægri hnefi: millihúðlitur, hönd, krepptur, millihúðlitur
🤛🏾	hnefi, hægri hnefi, hægri hnefi: meðaldökkur húðlitur, hönd, krepptur, meðaldökkur húðlitur
🤛🏿	dökkur húðlitur, hnefi, hægri hnefi, hægri hnefi: dökkur húðlitur, hönd, krepptur
🤜	hnefi, hönd, krepptur, vinstri hnefi
🤜🏻	hnefi, hönd, krepptur, ljós húðlitur, vinstri hnefi, vinstri hnefi: ljós húðlitur
🤜🏼	hnefi, hönd, krepptur, meðalljós húðlitur, vinstri hnefi, vinstri hnefi: meðalljós húðlitur
🤜🏽	hnefi, hönd, krepptur, millihúðlitur, vinstri hnefi, vinstri hnefi: millihúðlitur
🤜🏾	hnefi, hönd, krepptur, meðaldökkur húðlitur, vinstri hnefi, vinstri hnefi: meðaldökkur húðlitur
🤜🏿	dökkur húðlitur, hnefi, hönd, krepptur, vinstri hnefi, vinstri hnefi: dökkur húðlitur
👏	hendur, hendur klappa, klapp, lófaklapp
👏🏻	hendur, hendur klappa, klapp, ljós húðlitur, lófaklapp, lófaklapp: ljós húðlitur
👏🏼	hendur, hendur klappa, klapp, lófaklapp, lófaklapp: meðalljós húðlitur, meðalljós húðlitur
👏🏽	hendur, hendur klappa, klapp, lófaklapp, lófaklapp: millihúðlitur, millihúðlitur
👏🏾	hendur, hendur klappa, klapp, lófaklapp, lófaklapp: meðaldökkur húðlitur, meðaldökkur húðlitur
👏🏿	dökkur húðlitur, hendur, hendur klappa, klapp, lófaklapp, lófaklapp: dökkur húðlitur
🙌	báðar hendur, fagna, hendur upp í loft, húrra
🙌🏻	báðar hendur, fagna, hendur upp í loft, húrra, húrra: ljós húðlitur, ljós húðlitur
🙌🏼	báðar hendur, fagna, hendur upp í loft, húrra, húrra: meðalljós húðlitur, meðalljós húðlitur
🙌🏽	báðar hendur, fagna, hendur upp í loft, húrra, húrra: millihúðlitur, millihúðlitur
🙌🏾	báðar hendur, fagna, hendur upp í loft, húrra, húrra: meðaldökkur húðlitur, meðaldökkur húðlitur
🙌🏿	báðar hendur, dökkur húðlitur, fagna, hendur upp í loft, húrra, húrra: dökkur húðlitur
👐	hendur, lófar, opinn lófi, opnir lófar
👐🏻	hendur, ljós húðlitur, lófar, opinn lófi, opinn lófi: ljós húðlitur, opnir lófar
👐🏼	hendur, lófar, meðalljós húðlitur, opinn lófi, opinn lófi: meðalljós húðlitur, opnir lófar
👐🏽	hendur, lófar, millihúðlitur, opinn lófi, opinn lófi: millihúðlitur, opnir lófar
👐🏾	hendur, lófar, meðaldökkur húðlitur, opinn lófi, opinn lófi: meðaldökkur húðlitur, opnir lófar
👐🏿	dökkur húðlitur, hendur, lófar, opinn lófi, opinn lófi: dökkur húðlitur, opnir lófar
🤲	lófar saman, spenntar greipar
🤲🏻	ljós húðlitur, lófar saman, lófar saman: ljós húðlitur, spenntar greipar
