😀	andlit, glott, glottandi andlit
🤳🏽	millihúðlitur, myndavél, sjálfa, sjálfa: millihúðlitur
🤳🏾	meðaldökkur húðlitur, myndavél, sjálfa, sjálfa: meðaldökkur húðlitur
🤳🏿	dökkur húðlitur, myndavél, sjálfa, sjálfa: dökkur húðlitur
💪	skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, vöðvar
💪🏻	ljós húðlitur, skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, upphandleggsvöðvar: ljós húðlitur, vöðvar
💪🏼	meðalljós húðlitur, skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, upphandleggsvöðvar: meðalljós húðlitur, vöðvar
💪🏽	millihúðlitur, skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, upphandleggsvöðvar: millihúðlitur, vöðvar
💪🏾	meðaldökkur húðlitur, skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, upphandleggsvöðvar: meðaldökkur húðlitur, vöðvar
💪🏿	dökkur húðlitur, skrípó, spenna vöðva, spenntir vöðvar, upphandleggsvöðvar, upphandleggsvöðvar: dökkur húðlitur, vöðvar
🦾	aðgengi, gervilimur, vélhandleggur
🦿	aðgengi, gervilimur, vélfótleggur
🦵	fótleggur, sparka, útlimur
🦵🏻	fótleggur, fótleggur: ljós húðlitur, ljós húðlitur, sparka, útlimur
🦵🏼	fótleggur, fótleggur: meðalljós húðlitur, meðalljós húðlitur, sparka, útlimur
🦵🏽	fótleggur, fótleggur: millihúðlitur, millihúðlitur, sparka, útlimur
🦵🏾	fótleggur, fótleggur: meðaldökkur húðlitur, meðaldökkur húðlitur, sparka, útlimur
🦵🏿	dökkur húðlitur, fótleggur, fótleggur: dökkur húðlitur, sparka, útlimur
🦶	fótur, sparka, stappa, þramma
🦶🏻	fótur, fótur: ljós húðlitur, ljós húðlitur, sparka, stappa, þramma
🦶🏼	fótur, fótur: meðalljós húðlitur, meðalljós húðlitur, sparka, stappa, þramma
🦶🏽	fótur, fótur: millihúðlitur, millihúðlitur, sparka, stappa, þramma
🦶🏾	fótur, fótur: meðaldökkur húðlitur, meðaldökkur húðlitur, sparka, stappa, þramma
🦶🏿	dökkur húðlitur, fótur, fótur: dökkur húðlitur, sparka, stappa, þramma
👂️	eyru, líkami
👂🏻	eyru, eyru: ljós húðlitur, ljós húðlitur, líkami
👂🏼	eyru, eyru: meðalljós húðlitur, líkami, meðalljós húðlitur
👂🏽	eyru, eyru: millihúðlitur, líkami, millihúðlitur
👂🏾	eyru, eyru: meðaldökkur húðlitur, líkami, meðaldökkur húðlitur
👂🏿	dökkur húðlitur, eyru, eyru: dökkur húðlitur, líkami
🦻	aðgengileiki, eyra með heyrnartæki, heyrnarlaus, heyrnarskerðing
🦻🏻	aðgengileiki, eyra með heyrnartæki, eyra með heyrnartæki: ljós húðlitur, heyrnarlaus, heyrnarskerðing, ljós húðlitur
🦻🏼	aðgengileiki, eyra með heyrnartæki, eyra með heyrnartæki: meðalljós húðlitur, heyrnarlaus, heyrnarskerðing, meðalljós húðlitur
🦻🏽	aðgengileiki, eyra með heyrnartæki, eyra með heyrnartæki: millihúðlitur, heyrnarlaus, heyrnarskerðing, millihúðlitur
🦻🏾	aðgengileiki, eyra með heyrnartæki, eyra með heyrnartæki: meðaldökkur húðlitur, heyrnarlaus, heyrnarskerðing, meðaldökkur húðlitur
🦻🏿	aðgengileiki, dökkur húðlitur, eyra með heyrnartæki, eyra með heyrnartæki: dökkur húðlitur, heyrnarlaus, heyrnarskerðing
👃	andlit, líkami, nef
👃🏻	andlit, ljós húðlitur, líkami, nef, nef: ljós húðlitur
👃🏼	andlit, líkami, meðalljós húðlitur, nef, nef: meðalljós húðlitur
👃🏽	andlit, líkami, millihúðlitur, nef, nef: millihúðlitur
👃🏾	andlit, líkami, meðaldökkur húðlitur, nef, nef: meðaldökkur húðlitur
👃🏿	andlit, dökkur húðlitur, líkami, nef, nef: dökkur húðlitur
🧠	gáfur, heili
🦷	tannlæknir, tennur
🦴	bein, beinagrind
👀	andlit, augu
👁️	auga, líkami
👅	andlit, líkami, tunga
👄	andlit, líkami, munnur, varir
👶	fólk, ungbarn
👶🏻	fólk, ljós húðlitur, ungbarn, ungbarn: ljós húðlitur
👶🏼	fólk, meðalljós húðlitur, ungbarn, ungbarn: meðalljós húðlitur
👶🏽	fólk, millihúðlitur, ungbarn, ungbarn: millihúðlitur
👶🏾	fólk, meðaldökkur húðlitur, ungbarn, ungbarn: meðaldökkur húðlitur
👶🏿	dökkur húðlitur, fólk, ungbarn, ungbarn: dökkur húðlitur
🧒	barn, kynhlutlaust, ungt
🧒🏻	barn, barn: ljós húðlitur, kynhlutlaust, ljós húðlitur, ungt
🧒🏼	barn, barn: meðalljós húðlitur, kynhlutlaust, meðalljós húðlitur, ungt
🧒🏽	barn, barn: millihúðlitur, kynhlutlaust, millihúðlitur, ungt
🧒🏾	barn, barn: meðaldökkur húðlitur, kynhlutlaust, meðaldökkur húðlitur, ungt
🧒🏿	barn, barn: dökkur húðlitur, dökkur húðlitur, kynhlutlaust, ungt
👦	drengur, fólk, strákur
👦🏻	drengur, drengur: ljós húðlitur, fólk, ljós húðlitur, strákur
👦🏼	drengur, drengur: meðalljós húðlitur, fólk, meðalljós húðlitur, strákur
👦🏽	drengur, drengur: millihúðlitur, fólk, millihúðlitur, strákur
👦🏾	drengur, drengur: meðaldökkur húðlitur, fólk, meðaldökkur húðlitur, strákur
👦🏿	drengur, drengur: dökkur húðlitur, dökkur húðlitur, fólk, strákur
👧	meyja, stelpa, stjörnumerki, stúlka
👧🏻	ljós húðlitur, meyja, stelpa, stjörnumerki, stúlka, stúlka: ljós húðlitur
👧🏼	meyja, meðalljós húðlitur, stelpa, stjörnumerki, stúlka, stúlka: meðalljós húðlitur
👧🏽	meyja, millihúðlitur, stelpa, stjörnumerki, stúlka, stúlka: millihúðlitur
👧🏾	meyja, meðaldökkur húðlitur, stelpa, stjörnumerki, stúlka, stúlka: meðaldökkur húðlitur
👧🏿	dökkur húðlitur, meyja, stelpa, stjörnumerki, stúlka, stúlka: dökkur húðlitur
🧑	fullorðinn, kynhlutlaust, manneskja
🧑🏻	fullorðinn, kynhlutlaust, ljós húðlitur, manneskja, manneskja: ljós húðlitur
🧑🏼	fullorðinn, kynhlutlaust, manneskja, manneskja: meðalljós húðlitur, meðalljós húðlitur
🧑🏽	fullorðinn, kynhlutlaust, manneskja, manneskja: millihúðlitur, millihúðlitur
🧑🏾	fullorðinn, kynhlutlaust, manneskja, manneskja: meðaldökkur húðlitur, meðaldökkur húðlitur
🧑🏿	dökkur húðlitur, fullorðinn, kynhlutlaust, manneskja, manneskja: dökkur húðlitur
👱	fólk, ljóshærð manneskja, ljóst hár
👱🏻	fólk, ljós húðlitur, ljóshærð manneskja, ljóshærð manneskja: ljós húðlitur, ljóst hár
👱🏼	fólk, ljóshærð manneskja, ljóshærð manneskja: meðalljós húðlitur, ljóst hár, meðalljós húðlitur
👱🏽	fólk, ljóshærð manneskja, ljóshærð manneskja: millihúðlitur, ljóst hár, millihúðlitur
👱🏾	fólk, ljóshærð manneskja, ljóshærð manneskja: meðaldökkur húðlitur, ljóst hár, meðaldökkur húðlitur
👱🏿	dökkur húðlitur, fólk, ljóshærð manneskja, ljóshærð manneskja: dökkur húðlitur, ljóst hár
👨	fólk, karl, maður
👨🏻	fólk, karl, karl: ljós húðlitur, ljós húðlitur, maður
👨🏼	fólk, karl, karl: meðalljós húðlitur, maður, meðalljós húðlitur
👨🏽	fólk, karl, karl: millihúðlitur, maður, millihúðlitur
👨🏾	fólk, karl, karl: meðaldökkur húðlitur, maður, meðaldökkur húðlitur
👨🏿	dökkur húðlitur, fólk, karl, karl: dökkur húðlitur, maður
🧔	maður með skegg, skegg
🧔🏻	ljós húðlitur, maður með skegg, maður með skegg: ljós húðlitur, skegg
🧔🏼	maður með skegg, maður með skegg: meðalljós húðlitur, meðalljós húðlitur, skegg
🧔🏽	maður með skegg, maður með skegg: millihúðlitur, millihúðlitur, skegg
🧔🏾	maður með skegg, maður með skegg: meðaldökkur húðlitur, meðaldökkur húðlitur, skegg
🧔🏿	dökkur húðlitur, maður með skegg, maður með skegg: dökkur húðlitur, skegg
👱‍♂	ljóshærður, ljóshærður maður, ljóst hár, maður
👱🏻‍♂	ljós húðlitur, ljóshærður, ljóshærður maður: ljós húðlitur, ljóst hár, maður
👱🏼‍♂	ljóshærður, ljóshærður maður: meðalljós húðlitur, ljóst hár, maður, meðalljós húðlitur
👱🏽‍♂	ljóshærður, ljóshærður maður: millihúðlitur, ljóst hár, maður, millihúðlitur
👱🏾‍♂	ljóshærður, ljóshærður maður: meðaldökkur húðlitur, ljóst hár, maður, meðaldökkur húðlitur
👱🏿‍♂	dökkur húðlitur, ljóshærður, ljóshærður maður: dökkur húðlitur, ljóst hár, maður
👨‍🦰	fólk, karl, karl: rautt hár, maður, rautt hár
👨🏻‍🦰	fólk, karl, karl: ljós húðlitur og rautt hár, ljós húðlitur, maður, rautt hár
👨🏼‍🦰	fólk, karl, karl: meðalljós húðlitur og rautt hár, maður, meðalljós húðlitur, rautt hár
👨🏽‍🦰	fólk, karl, karl: millihúðlitur og rautt hár, maður, millihúðlitur, rautt hár
👨🏾‍🦰	fólk, karl, karl: meðaldökkur húðlitur og rautt hár, maður, meðaldökkur húðlitur, rautt hár
👨🏿‍🦰	dökkur húðlitur, fólk, karl, karl: dökkur húðlitur og rautt hár, maður, rautt hár
👨‍🦱	fólk, karl, karl: krullur, krullur, maður
👨🏻‍🦱	fólk, karl, karl: ljós húðlitur og krullur, krullur, ljós húðlitur, maður
👨🏼‍🦱	fólk, karl, karl: meðalljós húðlitur og krullur, krullur, maður, meðalljós húðlitur
👨🏽‍🦱	fólk, karl, karl: millihúðlitur og krullur, krullur, maður, millihúðlitur
👨🏾‍🦱	fólk, karl, karl: meðaldökkur húðlitur og krullur, krullur, maður, meðaldökkur húðlitur
👨🏿‍🦱	dökkur húðlitur, fólk, karl, karl: dökkur húðlitur og krullur, krullur, maður
👨‍🦳	fólk, hvítt hár, karl, karl: hvítt hár, maður
👨🏻‍🦳	fólk, hvítt hár, karl, karl: ljós húðlitur og hvítt hár, ljós húðlitur, maður
👨🏼‍🦳	fólk, hvítt hár, karl, karl: meðalljós húðlitur og hvítt hár, maður, meðalljós húðlitur
👨🏽‍🦳	fólk, hvítt hár, karl, karl: millihúðlitur og hvítt hár, maður, millihúðlitur
👨🏾‍🦳	fólk, hvítt hár, karl, karl: meðaldökkur húðlitur og hvítt hár, maður, meðaldökkur húðlitur
👨🏿‍🦳	dökkur húðlitur, fólk, hvítt hár, karl, karl: dökkur húðlitur og hvítt hár, maður
👨‍🦲	fólk, karl, karl: skalli, maður, skalli
👨🏻‍🦲	fólk, karl, karl: ljós húðlitur og skalli, ljós húðlitur, maður, skalli
👨🏼‍🦲	fólk, karl, karl: meðalljós húðlitur og skalli, maður, meðalljós húðlitur, skalli
👨🏽‍🦲	fólk, karl, karl: millihúðlitur og skalli, maður, millihúðlitur, skalli
👨🏾‍🦲	fólk, karl, karl: meðaldökkur húðlitur og skalli, maður, meðaldökkur húðlitur, skalli
👨🏿‍🦲	dökkur húðlitur, fólk, karl, karl: dökkur húðlitur og skalli, maður, skalli
👩	fólk, kona
👩🏻	fólk, kona, kona: ljós húðlitur, ljós húðlitur
👩🏼	fólk, kona, kona: meðalljós húðlitur, meðalljós húðlitur
👩🏽	fólk, kona, kona: millihúðlitur, millihúðlitur
👩🏾	fólk, kona, kona: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿	dökkur húðlitur, fólk, kona, kona: dökkur húðlitur
👱‍♀	kona, ljóshærð, ljóshærð kona, ljóst hár
👱🏻‍♀	kona, ljós húðlitur, ljóshærð, ljóshærð kona: ljós húðlitur, ljóst hár
👱🏼‍♀	kona, ljóshærð, ljóshærð kona: meðalljós húðlitur, ljóst hár, meðalljós húðlitur
👱🏽‍♀	kona, ljóshærð, ljóshærð kona: millihúðlitur, ljóst hár, millihúðlitur
👱🏾‍♀	kona, ljóshærð, ljóshærð kona: meðaldökkur húðlitur, ljóst hár, meðaldökkur húðlitur
👱🏿‍♀	dökkur húðlitur, kona, ljóshærð, ljóshærð kona: dökkur húðlitur, ljóst hár
👩‍🦰	fólk, kona, kona: rautt hár, rautt hár
👩🏻‍🦰	fólk, kona, kona: ljós húðlitur og rautt hár, ljós húðlitur, rautt hár
👩🏼‍🦰	fólk, kona, kona: meðalljós húðlitur og rautt hár, meðalljós húðlitur, rautt hár
👩🏽‍🦰	fólk, kona, kona: millihúðlitur og rautt hár, millihúðlitur, rautt hár
👩🏾‍🦰	fólk, kona, kona: meðaldökkur húðlitur og rautt hár, meðaldökkur húðlitur, rautt hár
👩🏿‍🦰	dökkur húðlitur, fólk, kona, kona: dökkur húðlitur og rautt hár, rautt hár
👩‍🦱	fólk, kona, kona: krullur, krullur
👩🏻‍🦱	fólk, kona, kona: ljós húðlitur og krullur, krullur, ljós húðlitur
👩🏼‍🦱	fólk, kona, kona: meðalljós húðlitur og krullur, krullur, meðalljós húðlitur
👩🏽‍🦱	fólk, kona, kona: millihúðlitur og krullur, krullur, millihúðlitur
👩🏾‍🦱	fólk, kona, kona: meðaldökkur húðlitur og krullur, krullur, meðaldökkur húðlitur
👩🏿‍🦱	dökkur húðlitur, fólk, kona, kona: dökkur húðlitur og krullur, krullur
👩‍🦳	fólk, hvítt hár, kona, kona: hvítt hár
👩🏻‍🦳	fólk, hvítt hár, kona, kona: ljós húðlitur og hvítt hár, ljós húðlitur
👩🏼‍🦳	fólk, hvítt hár, kona, kona: meðalljós húðlitur og hvítt hár, meðalljós húðlitur
👩🏽‍🦳	fólk, hvítt hár, kona, kona: millihúðlitur og hvítt hár, millihúðlitur
👩🏾‍🦳	fólk, hvítt hár, kona, kona: meðaldökkur húðlitur og hvítt hár, meðaldökkur húðlitur
👩🏿‍🦳	dökkur húðlitur, fólk, hvítt hár, kona, kona: dökkur húðlitur og hvítt hár
👩‍🦲	fólk, kona, kona: skalli, skalli
👩🏻‍🦲	fólk, kona, kona: ljós húðlitur og skalli, ljós húðlitur, skalli
👩🏼‍🦲	fólk, kona, kona: meðalljós húðlitur og skalli, meðalljós húðlitur, skalli
👩🏽‍🦲	fólk, kona, kona: millihúðlitur og skalli, millihúðlitur, skalli
👩🏾‍🦲	fólk, kona, kona: meðaldökkur húðlitur og skalli, meðaldökkur húðlitur, skalli
👩🏿‍🦲	dökkur húðlitur, fólk, kona, kona: dökkur húðlitur og skalli, skalli
🧓	eldri fullorðinn, gamall, kynhlutlaust
🧓🏻	eldri fullorðinn, eldri fullorðinn: ljós húðlitur, gamall, kynhlutlaust, ljós húðlitur
🧓🏼	eldri fullorðinn, eldri fullorðinn: meðalljós húðlitur, gamall, kynhlutlaust, meðalljós húðlitur
🧓🏽	eldri fullorðinn, eldri fullorðinn: millihúðlitur, gamall, kynhlutlaust, millihúðlitur
🧓🏾	eldri fullorðinn, eldri fullorðinn: meðaldökkur húðlitur, gamall, kynhlutlaust, meðaldökkur húðlitur
🧓🏿	dökkur húðlitur, eldri fullorðinn, eldri fullorðinn: dökkur húðlitur, gamall, kynhlutlaust
👴	eldri maður, fólk, gamall, maður
👴🏻	eldri maður, eldri maður: ljós húðlitur, fólk, gamall, ljós húðlitur, maður
👴🏼	eldri maður, eldri maður: meðalljós húðlitur, fólk, gamall, maður, meðalljós húðlitur
👴🏽	eldri maður, eldri maður: millihúðlitur, fólk, gamall, maður, millihúðlitur
👴🏾	eldri maður, eldri maður: meðaldökkur húðlitur, fólk, gamall, maður, meðaldökkur húðlitur
👴🏿	dökkur húðlitur, eldri maður, eldri maður: dökkur húðlitur, fólk, gamall, maður
👵	eldri kona, fólk, gömul, kona
👵🏻	eldri kona, eldri kona: ljós húðlitur, fólk, gömul, kona, ljós húðlitur
👵🏼	eldri kona, eldri kona: meðalljós húðlitur, fólk, gömul, kona, meðalljós húðlitur
👵🏽	eldri kona, eldri kona: millihúðlitur, fólk, gömul, kona, millihúðlitur
👵🏾	eldri kona, eldri kona: meðaldökkur húðlitur, fólk, gömul, kona, meðaldökkur húðlitur
👵🏿	dökkur húðlitur, eldri kona, eldri kona: dökkur húðlitur, fólk, gömul, kona
🙍	fýlusvipur, manneskja með ygglibrún
🙍🏻	fýlusvipur, ljós húðlitur, manneskja með ygglibrún, manneskja með ygglibrún: ljós húðlitur
🙍🏼	fýlusvipur, manneskja með ygglibrún, manneskja með ygglibrún: meðalljós húðlitur, meðalljós húðlitur
🙍🏽	fýlusvipur, manneskja með ygglibrún, manneskja með ygglibrún: millihúðlitur, millihúðlitur
🙍🏾	fýlusvipur, manneskja með ygglibrún, manneskja með ygglibrún: meðaldökkur húðlitur, meðaldökkur húðlitur
🙍🏿	dökkur húðlitur, fýlusvipur, manneskja með ygglibrún, manneskja með ygglibrún: dökkur húðlitur
🙍‍♂	fýla, karl, leiður, maður með skeifu, skeifa
🙍🏻‍♂	fýla, karl, leiður, ljós húðlitur, maður með skeifu, maður með skeifu: ljós húðlitur, skeifa
🙍🏼‍♂	fýla, karl, leiður, maður með skeifu, maður með skeifu: meðalljós húðlitur, meðalljós húðlitur, skeifa
🙍🏽‍♂	fýla, karl, leiður, maður með skeifu, maður með skeifu: millihúðlitur, millihúðlitur, skeifa
🙍🏾‍♂	fýla, karl, leiður, maður með skeifu, maður með skeifu: meðaldökkur húðlitur, meðaldökkur húðlitur, skeifa
🙍🏿‍♂	dökkur húðlitur, fýla, karl, leiður, maður með skeifu, maður með skeifu: dökkur húðlitur, skeifa
🙍‍♀	fýla, kona, kona með skeifu, leið, skeifa
🙍🏻‍♀	fýla, kona, kona með skeifu, kona með skeifu: ljós húðlitur, leið, ljós húðlitur, skeifa
🙍🏼‍♀	fýla, kona, kona með skeifu, kona með skeifu: meðalljós húðlitur, leið, meðalljós húðlitur, skeifa
🙍🏽‍♀	fýla, kona, kona með skeifu, kona með skeifu: millihúðlitur, leið, millihúðlitur, skeifa
🙍🏾‍♀	fýla, kona, kona með skeifu, kona með skeifu: meðaldökkur húðlitur, leið, meðaldökkur húðlitur, skeifa
🙍🏿‍♀	dökkur húðlitur, fýla, kona, kona með skeifu, kona með skeifu: dökkur húðlitur, leið, skeifa
🙎	fýlusvipur, manneskja í fýlu
🙎🏻	fýlusvipur, ljós húðlitur, manneskja í fýlu, manneskja í fýlu: ljós húðlitur
🙎🏼	fýlusvipur, manneskja í fýlu, manneskja í fýlu: meðalljós húðlitur, meðalljós húðlitur
🙎🏽	fýlusvipur, manneskja í fýlu, manneskja í fýlu: millihúðlitur, millihúðlitur
🙎🏾	fýlusvipur, manneskja í fýlu, manneskja í fýlu: meðaldökkur húðlitur, meðaldökkur húðlitur
🙎🏿	dökkur húðlitur, fýlusvipur, manneskja í fýlu, manneskja í fýlu: dökkur húðlitur
🙎‍♂	fýla, fýlusvipur, karl, maður í fýlu, súr
🙎🏻‍♂	fýla, fýlusvipur, karl, ljós húðlitur, maður í fýlu, maður í fýlu: ljós húðlitur, súr
