😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
🤞	δάχτυλα, καλή τύχη, σταυρώνω, τύχη, χέρι
🤞🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλα, καλή τύχη, καλή τύχη: ανοιχτόχρωμος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏼	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏽	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏾	δάχτυλα, καλή τύχη, καλή τύχη: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤞🏿	δάχτυλα, καλή τύχη, καλή τύχη: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, σταυρώνω, τύχη, χέρι
🤟	ILY, κίνηση σε αγαπώ, χέρι
🤟🏻	ILY, ανοιχτόχρωμος τόνος δέρματος, κίνηση σε αγαπώ, κίνηση σε αγαπώ: ανοιχτόχρωμος τόνος δέρματος, χέρι
🤟🏼	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χέρι
🤟🏽	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, χέρι
🤟🏾	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, χέρι
🤟🏿	ILY, κίνηση σε αγαπώ, κίνηση σε αγαπώ: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, χέρι
🤘	δάχτυλο, κέρατα, ροκάρω, σώμα, χέρι, χειρονομία ροκ
🤘🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, κέρατα, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: ανοιχτόχρωμος τόνος δέρματος
🤘🏼	δάχτυλο, κέρατα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤘🏽	δάχτυλο, κέρατα, μεσαίος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος τόνος δέρματος
🤘🏾	δάχτυλο, κέρατα, μεσαίος-σκούρος τόνος δέρματος, ροκάρω, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: μεσαίος-σκούρος τόνος δέρματος
🤘🏿	δάχτυλο, κέρατα, ροκάρω, σκούρος τόνος δέρματος, σώμα, χέρι, χειρονομία ροκ, χειρονομία ροκ: σκούρος τόνος δέρματος
🤙	κλήση, τηλεφώνησέ μου, χέρι
🤙🏻	ανοιχτόχρωμος τόνος δέρματος, κλήση, τηλεφώνησέ μου, τηλεφώνησέ μου: ανοιχτόχρωμος τόνος δέρματος, χέρι
🤙🏼	κλήση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χέρι
🤙🏽	κλήση, μεσαίος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος τόνος δέρματος, χέρι
🤙🏾	κλήση, μεσαίος-σκούρος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: μεσαίος-σκούρος τόνος δέρματος, χέρι
🤙🏿	κλήση, σκούρος τόνος δέρματος, τηλεφώνησέ μου, τηλεφώνησέ μου: σκούρος τόνος δέρματος, χέρι
👈️	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείχνω, σώμα, χέρι, χτύπημα
👈🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος, δείχνω, σώμα, χέρι, χτύπημα
👈🏼	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δείχνω, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏽	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος τόνος δέρματος, δείχνω, μεσαίος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏾	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος, δείχνω, μεσαίος-σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👈🏿	δάχτυλο, δείκτης, δείκτης χεριού προς τα αριστερά, δείκτης χεριού προς τα αριστερά: σκούρος τόνος δέρματος, δείχνω, σκούρος τόνος δέρματος, σώμα, χέρι, χτύπημα
👉️	δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείχνω, σώμα, χέρι, χτύπημα
👉🏻	ανοιχτόχρωμος τόνος δέρματος, δάχτυλο, δείκτης, δείκτης χεριού προς τα δεξιά, δείκτης χεριού προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος, δείχνω, σώμα, χέρι, χτύπημα
