😀	bahagia, gembira, muka, senang, wajah, wajah gembira
🖕🏻	jari, jari tengah, jari tengah: warna kulit cerah, tangan, warna kulit cerah
🖕🏼	jari, jari tengah, jari tengah: warna kulit cerah-sedang, tangan, warna kulit cerah-sedang
🖕🏽	jari, jari tengah, jari tengah: warna kulit sedang, tangan, warna kulit sedang
🖕🏾	jari, jari tengah, jari tengah: warna kulit gelap-sedang, tangan, warna kulit gelap-sedang
🖕🏿	jari, jari tengah, jari tengah: warna kulit gelap, tangan, warna kulit gelap
👇️	badan, bawah, jari, menunjuk ke bawah, tangan, tengah, tubuh, tunjuk
👇🏻	badan, bawah, jari, menunjuk ke bawah, menunjuk ke bawah: warna kulit cerah, tangan, tengah, tubuh, tunjuk, warna kulit cerah
👇🏼	badan, bawah, jari, menunjuk ke bawah, menunjuk ke bawah: warna kulit cerah-sedang, tangan, tengah, tubuh, tunjuk, warna kulit cerah-sedang
👇🏽	badan, bawah, jari, menunjuk ke bawah, menunjuk ke bawah: warna kulit sedang, tangan, tengah, tubuh, tunjuk, warna kulit sedang
👇🏾	badan, bawah, jari, menunjuk ke bawah, menunjuk ke bawah: warna kulit gelap-sedang, tangan, tengah, tubuh, tunjuk, warna kulit gelap-sedang
👇🏿	badan, bawah, jari, menunjuk ke bawah, menunjuk ke bawah: warna kulit gelap, tangan, tengah, tubuh, tunjuk, warna kulit gelap
☝️	atas, badan, jari, menunjuk ke atas, tangan, telunjuk, tubuh, tunjuk
☝🏻	atas, badan, jari, menunjuk ke atas, menunjuk ke atas: warna kulit cerah, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah
☝🏼	atas, badan, jari, menunjuk ke atas, menunjuk ke atas: warna kulit cerah-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit cerah-sedang
☝🏽	atas, badan, jari, menunjuk ke atas, menunjuk ke atas: warna kulit sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit sedang
☝🏾	atas, badan, jari, menunjuk ke atas, menunjuk ke atas: warna kulit gelap-sedang, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap-sedang
☝🏿	atas, badan, jari, menunjuk ke atas, menunjuk ke atas: warna kulit gelap, tangan, telunjuk, tubuh, tunjuk, warna kulit gelap
👍️	+1, atas, badan, jempol, jempol ke atas, tangan, tubuh
👍🏻	+1, atas, badan, jempol, jempol ke atas, jempol ke atas: warna kulit cerah, tangan, tubuh, warna kulit cerah
👍🏼	+1, atas, badan, jempol, jempol ke atas, jempol ke atas: warna kulit cerah-sedang, tangan, tubuh, warna kulit cerah-sedang
👍🏽	+1, atas, badan, jempol, jempol ke atas, jempol ke atas: warna kulit sedang, tangan, tubuh, warna kulit sedang
👍🏾	+1, atas, badan, jempol, jempol ke atas, jempol ke atas: warna kulit gelap-sedang, tangan, tubuh, warna kulit gelap-sedang
👍🏿	+1, atas, badan, jempol, jempol ke atas, jempol ke atas: warna kulit gelap, tangan, tubuh, warna kulit gelap
👎️	-1, badan, bawah, jempol, jempol ke bawah, tangan, tubuh
👎🏻	-1, badan, bawah, jempol, jempol ke bawah, jempol ke bawah: warna kulit cerah, tangan, tubuh, warna kulit cerah
👎🏼	-1, badan, bawah, jempol, jempol ke bawah, jempol ke bawah: warna kulit cerah-sedang, tangan, tubuh, warna kulit cerah-sedang
👎🏽	-1, badan, bawah, jempol, jempol ke bawah, jempol ke bawah: warna kulit sedang, tangan, tubuh, warna kulit sedang
👎🏾	-1, badan, bawah, jempol, jempol ke bawah, jempol ke bawah: warna kulit gelap-sedang, tangan, tubuh, warna kulit gelap-sedang
👎🏿	-1, badan, bawah, jempol, jempol ke bawah, jempol ke bawah: warna kulit gelap, tangan, tubuh, warna kulit gelap
✊	badan, kepal, tangan, tangan terkepal ke atas, tinju, tubuh
✊🏻	badan, kepal, tangan, tangan terkepal ke atas, tangan terkepal ke atas: warna kulit cerah, tinju, tubuh, warna kulit cerah
✊🏼	badan, kepal, tangan, tangan terkepal ke atas, tangan terkepal ke atas: warna kulit cerah-sedang, tinju, tubuh, warna kulit cerah-sedang
✊🏽	badan, kepal, tangan, tangan terkepal ke atas, tangan terkepal ke atas: warna kulit sedang, tinju, tubuh, warna kulit sedang
✊🏾	badan, kepal, tangan, tangan terkepal ke atas, tangan terkepal ke atas: warna kulit gelap-sedang, tinju, tubuh, warna kulit gelap-sedang
✊🏿	badan, kepal, tangan, tangan terkepal ke atas, tangan terkepal ke atas: warna kulit gelap, tinju, tubuh, warna kulit gelap
👊	badan, kepal, tangan, tangan terkepal ke depan, tinju, tonjok, tubuh
