😀	gezicht, grijns, grijnzend gezicht
🤏🏻	gebaar voor kleine hoeveelheid, hand met samengeknepen vingers, hand met samengeknepen vingers: lichte huidskleur, lichte huidskleur
🤏🏼	gebaar voor kleine hoeveelheid, hand met samengeknepen vingers, hand met samengeknepen vingers: lichtgetinte huidskleur, lichtgetinte huidskleur
🤏🏽	gebaar voor kleine hoeveelheid, getinte huidskleur, hand met samengeknepen vingers, hand met samengeknepen vingers: getinte huidskleur
🤏🏾	donkergetinte huidskleur, gebaar voor kleine hoeveelheid, hand met samengeknepen vingers, hand met samengeknepen vingers: donkergetinte huidskleur
🤏🏿	donkere huidskleur, gebaar voor kleine hoeveelheid, hand met samengeknepen vingers, hand met samengeknepen vingers: donkere huidskleur
✌️	hand, v, vredesteken, winnende hand
✌🏻	hand, lichte huidskleur, v, vredesteken, winnende hand, winnende hand: lichte huidskleur
✌🏼	hand, lichtgetinte huidskleur, v, vredesteken, winnende hand, winnende hand: lichtgetinte huidskleur
✌🏽	getinte huidskleur, hand, v, vredesteken, winnende hand, winnende hand: getinte huidskleur
✌🏾	donkergetinte huidskleur, hand, v, vredesteken, winnende hand, winnende hand: donkergetinte huidskleur
✌🏿	donkere huidskleur, hand, v, vredesteken, winnende hand, winnende hand: donkere huidskleur
🤞	gekruist, gekruiste vingers, geluk, hand, vinger
🤞🏻	gekruist, gekruiste vingers, gekruiste vingers: lichte huidskleur, geluk, hand, lichte huidskleur, vinger
🤞🏼	gekruist, gekruiste vingers, gekruiste vingers: lichtgetinte huidskleur, geluk, hand, lichtgetinte huidskleur, vinger
🤞🏽	gekruist, gekruiste vingers, gekruiste vingers: getinte huidskleur, geluk, getinte huidskleur, hand, vinger
🤞🏾	donkergetinte huidskleur, gekruist, gekruiste vingers, gekruiste vingers: donkergetinte huidskleur, geluk, hand, vinger
🤞🏿	donkere huidskleur, gekruist, gekruiste vingers, gekruiste vingers: donkere huidskleur, geluk, hand, vinger
🤟	ILY, hand, ik-hou-van-je-gebaar
🤟🏻	ILY, hand, ik-hou-van-je-gebaar, ik-hou-van-je-gebaar: lichte huidskleur, lichte huidskleur
🤟🏼	ILY, hand, ik-hou-van-je-gebaar, ik-hou-van-je-gebaar: lichtgetinte huidskleur, lichtgetinte huidskleur
🤟🏽	ILY, getinte huidskleur, hand, ik-hou-van-je-gebaar, ik-hou-van-je-gebaar: getinte huidskleur
🤟🏾	ILY, donkergetinte huidskleur, hand, ik-hou-van-je-gebaar, ik-hou-van-je-gebaar: donkergetinte huidskleur
🤟🏿	ILY, donkere huidskleur, hand, ik-hou-van-je-gebaar, ik-hou-van-je-gebaar: donkere huidskleur
🤘	duivelshorens, hand, hoorns, rock on, vinger
🤘🏻	duivelshorens, duivelshorens: lichte huidskleur, hand, hoorns, lichte huidskleur, rock on, vinger
🤘🏼	duivelshorens, duivelshorens: lichtgetinte huidskleur, hand, hoorns, lichtgetinte huidskleur, rock on, vinger
🤘🏽	duivelshorens, duivelshorens: getinte huidskleur, getinte huidskleur, hand, hoorns, rock on, vinger
🤘🏾	donkergetinte huidskleur, duivelshorens, duivelshorens: donkergetinte huidskleur, hand, hoorns, rock on, vinger
🤘🏿	donkere huidskleur, duivelshorens, duivelshorens: donkere huidskleur, hand, hoorns, rock on, vinger
🤙	bel me-gebaar, bellen, hand
🤙🏻	bel me-gebaar, bel me-gebaar: lichte huidskleur, bellen, hand, lichte huidskleur
🤙🏼	bel me-gebaar, bel me-gebaar: lichtgetinte huidskleur, bellen, hand, lichtgetinte huidskleur
🤙🏽	bel me-gebaar, bel me-gebaar: getinte huidskleur, bellen, getinte huidskleur, hand
🤙🏾	bel me-gebaar, bel me-gebaar: donkergetinte huidskleur, bellen, donkergetinte huidskleur, hand
🤙🏿	bel me-gebaar, bel me-gebaar: donkere huidskleur, bellen, donkere huidskleur, hand
👈️	achterkant van hand met naar links wijzende wijsvinger, hand, lichaam, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
👈🏻	achterkant van hand met naar links wijzende wijsvinger, achterkant van hand met naar links wijzende wijsvinger: lichte huidskleur, hand, lichaam, lichte huidskleur, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
👈🏼	achterkant van hand met naar links wijzende wijsvinger, achterkant van hand met naar links wijzende wijsvinger: lichtgetinte huidskleur, hand, lichaam, lichtgetinte huidskleur, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
👈🏽	achterkant van hand met naar links wijzende wijsvinger, achterkant van hand met naar links wijzende wijsvinger: getinte huidskleur, getinte huidskleur, hand, lichaam, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
👈🏾	achterkant van hand met naar links wijzende wijsvinger, achterkant van hand met naar links wijzende wijsvinger: donkergetinte huidskleur, donkergetinte huidskleur, hand, lichaam, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
👈🏿	achterkant van hand met naar links wijzende wijsvinger, achterkant van hand met naar links wijzende wijsvinger: donkere huidskleur, donkere huidskleur, hand, lichaam, vinger, vinger wijst naar links, wijsvinger, wijzen, wijzend
