😀	gezicht, grijns, grijnzend gezicht
🦥	lui, luiaard, traag
🦦	otter, speels, vissen
🦨	stinken, stink­dier
🦘	Aus­tralië, buideldier, kangoeroe, springen, wallaby
🦡	das, honingdas, kwellen
🐾	afdruk, poot, pootafdrukken, poten
🦃	gevogelte, kalkoen
🐔	gevogelte, kip
🐓	gevogelte, haan
🐣	baby, gevogelte, kuiken, kuiken uit ei, uit ei komen
🐤	baby, gevogelte, kuiken, kuikentje
🐥	baby, gevogelte, kuiken, naar voren kijkend kuikentje
🐦️	vogel
🐧	pinguïn, vogel
🕊️	duif, vliegen, vogel, vrede
🦅	adelaar, arend, vogel
🦆	eend, vogel
🦢	lelijk eendje, vogel, zwaan, zwanenjong
🦉	uil, vogel, wijs, wijsheid
🦩	flamboyant, flamingo, tropisch
🦚	opzichtig, pauw, pauwhen, trots, vogel
🦜	papegaai, piraat, praten, vogel
🐸	gezicht, kikker
🐊	krokodil
🐢	schildpad, waterschildpad
🦎	gekko, hagedis, reptiel
🐍	ophiuchus, serpent, slang, slangendrager, sterrenbeeld
🐲	draak, drakengezicht, gezicht, sprookje
🐉	draak, sprookje
🦕	brachiosaurus, brontosaurus, diplodocus, sauropode
🦖	T-Rex, Tyrannosaurus Rex
🐳	gezicht, spuitend, spuitende walvis, walvis
🐋	walvis
🐬	dolfijn, flipper
🐟️	sterrenbeeld, vis, vissen
🐠	tropisch, tropische vis, vis
🐡	kogelvis, vis
🦈	haai, vis
🐙	octopus
🐚	schelp, spiraal
🐌	slak
🦋	insect, mooi, schoonheid, vlinder
🐛	insect
🐜	insect, mier
🐝	bij, honingbij, insect
🐞	insect, kever, lieveheersbeest, lieveheersbeestje
🦗	krekel, sprinkhaan
🕷️	insect, spin
🕸️	spin, spinnenweb, web
🦂	Scorpio, schorpioen, sterrenbeeld
🦟	insect, koorts, malaria, mug, virus, ziekte
🦠	amoeba, bacterie, microbe, virus
💐	bloem, boeket
🌸	bloem, bloesem, kers, kersenbloesem
💮	bloem, witte bloem
🏵️	plant, rozet
🌹	bloem, roos
🥀	bloem, verwelkt, verwelkte bloem
🌺	bloem, hibiscus
🌻	bloem, zon, zonnebloem
🌼	bloem, bloesem
🌷	bloem, tulp
🌱	jong, zaailing
🌲	boom, naaldboom
🌳	bladeren verliezen, boom, loof verliezen, loofboom
🌴	boom, palm, palmboom
🌵	cactus, plant
🌾	aar, graan, rijst, rijstplant
🌿	blad, kruid
☘️	klavertjedrie, plant
🍀	4, blad, klaver, klavertjevier, vier
🍁	blad, esdoorn, esdoornblad, vallend
🍂	blad, vallend, vallende bladeren
🍃	blad, blad in de wind, waaiend, waait, wind
🍇	druif, druiven, fruit
🍈	fruit, meloen
🍉	fruit, watermeloen
🍊	fruit, mandarijn, sinaasappel
🍋	citroen, citrus, fruit
🍌	banaan, fruit
🍍	ananas, fruit
🥭	fruit, mango, tropisch
🍎	appel, fruit, rode appel, rood
🍏	appel, fruit, groen, groene appel
🍐	fruit, peer
🍑	fruit, perzik
🍒	fruit, kers, kersen
🍓	aardbei, bes, fruit
🥝	fruit, kiwi, voedsel
🍅	fruit, groente, tomaat
🥥	kokosnoot, palm, pina colada
🥑	avocado, fruit, voedsel
🍆	aubergine, groente
🥔	aardappel, groente, voedsel
🥕	groente, voedsel, wortel
🌽	kolf, maïskolf, plant
🌶️	heet, hete peper, peper
🥒	augurk, groente, komkommer, voedsel
🥬	bladgroente, boerenkool, kool, paksoi, sla
🥦	broccoli, wilde kool
🧄	knoflook, smaakmaker
🧅	smaakmaker, ui
🍄	paddenstoel, zwam
🥜	groente, noot, pinda, pinda’s, voedsel
🌰	kastanje, plant
🍞	brood
🥐	brood, croissant, frans, voedsel
🥖	baguette, brood, frans, stokbrood, voedsel
🥨	gedraaid, pretzel
🥯	bagel, bakkerij, spread
🥞	crêpe, flensjes, pannenkoek, pannenkoeken, voedsel
🧇	ijzer, wafel, weifelend
🧀	kaas, stuk kaas
🍖	bot, vlees, vlees met bot
🍗	bot, gevogelte, kip, kippenpoot, poot
🥩	biefstuk, kotelet, lamskotelet, varkenslap, vlees
🥓	bacon, vlees, voedsel
🍔	burger, hamburger
🍟	frans, frietjes, patat
🍕	kaas, pizzapunt, punt
🌭	frankfurter, hotdog, worst
🥪	boterham, brood
🌮	mexicaans, taco
🌯	burrito, mexicaans, wrap
🥙	falafel, gevuld, gevuld pitabroodje, gyro, kebab, pitabrood, voedsel
🧆	falafel, gehaktbal, kikkererwt
🥚	ei, voedsel
🍳	bakken, ei, koken, pan
🥘	casserole, paella, paellapan, pan, voedsel, wok
🍲	eenpansgerecht, stoofschotel
🥣	cornflakes, kom met lepel, muesli, ontbijt
🥗	groen, groene salade, salade, voedsel
🍿	popcorn
🧈	boter, zuivel
🧂	tafelzout, zout, zoutvaatje
🥫	blik, blikvoedsel
🍱	bento, bentobox, box
🍘	cracker, rijst, rijstwafel
🍙	balletje, japans, rijst, rijstballetje
🍚	gekookt, gekookte rijst, rijst
🍛	curry, curry en rijst, rijst
🍜	dampend, dampende kom, kom, noedels, ramen
🍝	pasta, spaghetti
🍠	aardappel, gepoft, gepofte zoete aardappel, zoet
🍢	oden, stokje, zeevruchten, zeevruchten op een stokje
🍣	sushi
🍤	garnaal, gefrituurd, gefrituurde garnaal, tempura
🍥	koekje, krul, vis, viskoekje, viskoekje met krul
🥮	festival, herfst, maancake, yuèbǐng
🍡	dango, dessert, japans, kleefrijstballetjes, stokje, zoet
🥟	empanada, gyoza, jiaozi, knoedel, pirog
🥠	gelukskoekje, profetie
🥡	afhaalmaaltijd, oesteremmer
🦀	krab, kreeft, sterrenbeeld
🦞	bisque, kreeft, scharen, zeevruchten
🦐	garnaal, klein, schaaldier, voedsel
🦑	calamaris, inktvis, voedsel, weekdier
🦪	duiken, oester, parel
🍦	dessert, ijs, roomijs, softijs, zacht, zoet
🍧	dessert, geschaafd, geschaafd ijs, ijs, zoet
🍨	dessert, ijs, room, zoet
🍩	dessert, donut, zoet
🍪	dessert, koekje, zoet
🎂	dessert, feest, gebak, taart, verjaardag, verjaardagstaart, zoet
🍰	cake, dessert, gebak, plak, taart, zoet
🧁	bakkerij, cupcake, zoet
🥧	gebakje, taart, vulling
🍫	chocolade, chocoladereep, dessert, reep, zoet
🍬	dessert, snoep, zoet
🍭	dessert, lolly, snoep, zoet
🍮	dessert, pudding, vla, zoet
🍯	honing, honingpot, pot, zoet
🍼	baby, babyflesje, drinken, flesje, melk
🥛	drank, glas, glas melk, melk
☕️	drankje, drinken, koffie, stomend, thee, warm, warme drank
🍵	drankje, drinken, kop, thee, theekopje, theekopje zonder oor
🍶	bar, drankje, drinken, fles, kopje, sake
🍾	bar, drinken, fles, fles met knallende kurk, knallend, kurk
🍷	bar, drankje, drinken, glas, wijn, wijnglas
🍸️	bar, cocktail, cocktailglas, drinken, glas
🍹	bar, drinken, tropisch, tropisch drankje
🍺	bar, bier, bierglas, drinken, glas
🍻	bar, bier, drinken, glas, klinkende bierglazen, proosten
🥂	drinken, glas, klinken, klinkende glazen, vieren
🥃	borrel, drank, glas, tumbler, tumblerglas, whiskey, whisky
🥤	beker met rietje, frisdrank, sap
🧃	pakje drinken, pakje sap
🧉	drank, maté
🧊	ijsberg, ijsklontje, koud
🥢	chopsticks, eetstokjes
🍽️	bord, koken, mes, mes en vork met bord, vork
🍴	koken, mes, mes en vork, vork
🥄	bestek, lepel, tafelgerei
🔪	keukenmes, koken, mes, wapen
🏺	amfora, drinken, koken, kruik, sterrenbeeld, waterman
🌍	Afrika, Europa, aarde, wereld, wereldbol, wereldbol met Europa-Afrika
🌎️	Noord- en Zuid-Amerika, aarde, wereld, wereldbol, wereldbol met Noord- en Zuid-Amerika
🌏	Australië, Azië, aarde, wereld, wereldbol, wereldbol met Azië-Australië
🌐	aarde, meridianen, wereld, wereldbol, wereldbol met meridianen
🗺️	kaart, wereld, wereldkaart
🗾	Japan, kaart, kaart van Japan
🧭	kompas, magnetisch, navigatie, oriëntatielopen
🏔️	berg, berg met besneeuwde toppen, koud, sneeuw
⛰️	berg
🌋	berg, vulkaan, vulkaanuitbarsting
🗻	Fuji, berg, berg Fuji
🏕️	kamperen
🏖️	parasol, strand, strand met parasol
🏜️	woestijn
🏝️	eiland, onbewoond, onbewoond eiland
🏞️	nationaal park, park
🏟️	stadion
🏛️	klassiek, klassiek gebouw
🏗️	bouw, woningbouw
🧱	baksteen, bakstenen, cement, klei, muur
🏘️	huizen
🏚️	huis, vervallen, vervallen huis
🏠️	huis, thuis
🏡	huis, huis met tuin, thuis, tuin
🏢	gebouw, kantoorgebouw
🏣	Japans, Japans postkantoor, post
🏤	Europees, post, postkantoor
🏥	dokter, medicijnen, ziekenhuis
🏦	bank, gebouw
🏨	gebouw, hotel
🏩	hotel, liefde, love-hotel
🏪	boodschappen, supermarkt, winkel
🏫	gebouw, school
🏬	warenhuis, winkel, winkelen
🏭️	fabriek, gebouw
🏯	Japans, Japans kasteel, kasteel
🏰	europees, gebouw, kasteel
💒	bruiloft, kapel, romantiek
🗼	Tokio, Tokio-toren, toren
🗽	beeld, vrijheid, vrijheidsbeeld
⛪️	christelijk, geloof, kerk, kruis
🕌	geloof, islam, moskee, moslim
🛕	hindoe, hindoetempel, tempel
🕍	geloof, jood, joods, synagoge, tempel
⛩️	geloof, shinto, shinto-tempel, tempel
🕋	geloof, islam, kaäba, moslim
⛲️	fontein
⛺️	kamperen, tent
🌁	mist, mistig
🌃	nacht, sterren, sterrenhemel
🏙️	stad, stadsgezicht
🌄	berg, ochtend, zon, zonsopgang, zonsopgang in de bergen
🌅	ochtend, zon, zonsopgang
🌆	avond, landschap, schemer, stad, stad bij schemering, zonsondergang
🌇	gebouw, schemer, zon, zonsondergang
🌉	brug, brug bij nacht, nacht
♨️	bronnen, stomend, warm, warmwaterbronnen
🎠	draaimolen, draaimolenpaard, paard
🎡	pretpark, rad, reuzenrad
🎢	achtbaan, baan, pretpark
💈	kapper, kapperspaal, kapsel, paal
🎪	circus, circustent, tent
🚂	locomotief, spoor, stoom, trein, voertuig
🚃	elektrisch, spoor, tram, trein, treinwagon, trolleybus, wagon
🚄	hogesnelheidstrein, shinkansen, snelheid, spoor, trein
🚅	Shinkansen, hogesnelheidstrein met kogelneus, kogeltrein, snelheid, spoor, trein
🚆	spoor, trein
🚇️	metro, ondergrondse
🚈	lightrail, spoor
🚉	spoor, trein, treinstation
🚊	tram, trolleybus
🚝	monorail, voertuig
🚞	berg, bergspoor, spoor, wagon
🚋	tram, tramwagon, trolleybus, wagon
🚌	bus, voertuig
🚍️	bus, naderend, naderende bus
🚎	bus, tram, trolley, trolleybus
🚐	bus, minibus
🚑️	ambulance, voertuig
🚒	auto, brand, brandweerauto, voertuig
🚓	auto, politie, politieauto, politiewagen
🚔️	auto, naderend, naderende politieauto, politie
🚕	taxi, voertuig
🚖	naderend, naderende taxi, taxi
🚗	auto, automobiel
🚘️	auto, automobiel, naderend, naderende auto
🚙	SUV, auto, kampeerauto, voertuig
🚚	bestelbus, bezorging, bus
🚛	truck, vrachtauto, vrachtwagen, vrachtwagen met oplegger
🚜	tractor, voertuig
🏎️	auto, raceauto, racen
🏍️	motor, racen
🛵	brommer, motor, scooter
🦽	rolstoel, toegankelijkheid
🦼	elektrische rolstoel, toegankelijkheid
🛺	rik­sja, tuktuk
🚲️	fiets, rijwiel
🛴	autoped, step, steppen
🛹	deck, skateboard
🚏	bus, bushalte, halte
🛣️	autosnelweg, snelweg, weg
🛤️	spoor, trein, treinspoor
🛢️	olie, olievat, vat
⛽️	benzine, benzinepomp, benzinestation, brandstof, pomp, station
🚨	auto, draaiend, licht, politie, sein, zwaailicht van politieauto
🚥	horizontaal verkeerslicht, licht, verkeer, verkeerslichten
🚦	licht, verkeer, verkeerslichten, verticaal verkeerslicht
🛑	achthoekig, bord, stop, stopteken, verkeersteken
🚧	barricade, bouwwerkzaamheden
⚓️	anker, hulpmiddel, schip
⛵️	boot, jacht, jachthaven, zee, zeilboot
🛶	boot, kano
🚤	boot, speedboot
🛳️	passagier, passagiersschip, schip
⛴️	boot, passagier, veerboot
🛥️	boot, motorboot
🚢	boot, passagier, schip
✈️	vliegmachine, vliegtuig
🛩️	vliegmachine, vliegtuig, vliegtuigje
🛫	inchecken, vertrek, vertrek van vliegtuig, vertrekken, vliegmachine, vliegtuig
🛬	aankomen, aankomst, aankomst van vliegtuig, landen, vliegmachine, vliegtuig
🪂	hanggliden, parachute, parachutespringen, parasailen, skydiven
💺	stoel
🚁	helikopter, voertuig
🚟	spoor, zweeftrein, zwevend
🚠	berg, bergkabelbaan, gondel, kabel
🚡	baan, gondel, kabel, kabelbaan, transportbaan
🛰️	ruimte, satelliet, voertuig
🚀	raket, ruimte, voertuig
🛸	ufo, vliegende schotel
🛎️	balie, bel, hotel, piccolobel
🧳	bagage, inpakken, reizen
⌛️	timer, zand, zandloper
⏳️	timer, zand, zandloper, zandloper met stromend zand
⌚️	horloge, klok
⏰	alarm, klok, wekker
⏱️	klok, stopwatch
⏲️	keukenwekker, klok, timer
🕰️	klok
🕛️	00, 12, 12:00, klok, twaalf, twaalf uur, uur
🕧	12, 12:30, 30, dertig, half één, twaalf
🕐️	00, 1, 1:00, klok, uur, één, één uur
🕜	1, 1:30, dertig, half twee, klok, één
🕑️	00, 2, 2:00, klok, twee, twee uur, uur
🕝	2, 2:30, dertig, half drie, klok, twee
🕒️	00, 3, 3:00, drie, drie uur, klok, uur
🕞	3, 3:30, dertig, drie, half vier, klok
🕓️	00, 4, 4:00, klok, uur, vier, vier uur
🕟	4, 4:30, dertig, half vijf, klok, vier
🕔️	00, 5, 5:00, klok, uur, vijf, vijf uur
🕠	5, 5:30, dertig, half zes, klok, vijf
🕕️	00, 6, 6:00, klok, uur, zes, zes uur
🕡	6, 6:30, dertig, half zeven, klok, zes
🕖️	00, 7, 7:00, klok, uur, zeven, zeven uur
🕢	7, 7:30, dertig, half acht, klok, zeven
🕗️	00, 8, 8:00, acht, acht uur, klok, uur
🕣	8, 8:30, acht, dertig, half negen, klok
🕘️	00, 9, 9:00, klok, negen, negen uur, uur
🕤	9, 9:30, dertig, half tien, klok, negen
🕙️	00, 10, 10:00, klok, tien, tien uur, uur
🕥	10, 10:30, dertig, half elf, klok, tien
🕚️	00, 11, 11:00, elf, elf uur, klok, uur
🕦	11, 11:30, 30, dertig, elf, half twaalf, klok
🌑	donker, maan, nieuwe maan
🌒	jonge maansikkel, maan, sikkel, wassend
🌓	kwartier, maan, maan in eerste kwartier
🌔	bolvormig, maan, wassend, wassende maan
🌕️	maan, vol, volle maan
🌖	afnemend, afnemende maan, bolvormig, maan
🌗	kwartier, maan, maan in laatste kwartier
🌘	afnemend, asgrauwe maan, maan, sikkel
🌙	maan, maansikkel, sikkel
🌚	gezicht, maan, nieuwe maan met gezicht
🌛	gezicht, kwartier, maan, maan met gezicht in eerste kwartier
🌜️	gezicht, kwartier, maan, maan met gezicht in laatste kwartier
🌡️	thermometer, weer
☀️	helder, stralen, zon, zonnig
🌝	gezicht, helder, maan, vol, volle maan met gezicht
🌞	gezicht, helder, zon, zon met gezicht
🪐	Saturnus, planeet met ringen, zwaarmoedig
⭐️	ster, witte middelgrote ster
🌟	fonkelend, schitterend, schittering, ster, stralen, stralende ster
🌠	ster, vallen, vallend, vallende ster
🌌	melkweg, ruimte
☁️	weer, wolk
⛅️	wolk, zon, zon achter wolk
⛈️	onweer, regen, wolk, wolk met bliksem en regen
🌤️	wolk, zon, zon achter kleine wolk
🌥️	wolk, zon, zon achter grote wolk
🌦️	regen, wolk, zon, zon achter regenwolk
🌧️	regen, wolk, wolk met regen
🌨️	koud, sneeuw, wolk, wolk met sneeuw
🌩️	bliksem, wolk, wolk met bliksem
🌪️	tornado, wervelwind, wolk
🌫️	mist, wolk
🌬️	blazen, gezicht, gezicht dat wind blaast, wind, wolk
🌀	cycloon, duizelig, twister, tyfoon
🌈	regen, regenboog
🌂	ingevouwen paraplu, kleding, paraplu, regen
☂️	kleding, paraplu, regen
☔️	druppels, kleding, paraplu, paraplu met regendruppels, regen
⛱️	parasol, regen, strandparasol, zon
⚡️	bliksem, elektrisch, gevaar, hoog voltage, schok, voltage
❄️	koud, sneeuw, sneeuwvlok
☃️	koud, sneeuw, sneeuwpop
⛄️	koud, sneeuw, sneeuwpop, sneeuwpop zonder sneeuwvlokken
☄️	komeet, ruimte
🔥	hulpmiddel, vlam, vuur
💧	druppel, koud, strip, zweet
🌊	golf, oceaan, water
🎃	feest, halloween, halloweenlantaarn, lantaarn, pompoen
🎄	boom, feest, kerstboom, kerstmis
🎆	feest, vuurwerk
🎇	feest, sterretje, vuurwerk, vuurwerksterretje
🧨	dynamiet, explosief, rotje, vuurwerk
✨	*, glinsteren, ster, sterretjes
🎈	ballon, feest
🎉	feest, feestknaller, hoera, popper, viering
🎊	bal, confetti, confettibal, feest
🎋	boom, feest, japans, papierlinten, tanabataboom
🎍	bamboe, den, dennenboomversiering, feest, japans
🎎	Japanse poppen, feest, festival, japans, pop
🎏	feest, karper, karperslinger, wimpel
🎐	bel, feest, klokkenspel, wind, windorgel
🎑	ceremonie, feest, maan, maanobservatieceremonie
🧧	cadeau, geld, hóngbāo, lai see, rode envelop, voorspoed
🎀	feest, strik
🎁	cadeau, cadeautje, feest, ingepakt, ingepakt cadeau, verpakking
🎗️	bewustzijnslintje, herinnering, lintje, viering
🎟️	entree, entreekaartjes, kaartje
🎫	entree, ticket
🎖️	medaille, militair, militaire medaille, viering
🏆️	prijs, trofee
🏅	medaille, sportmedaille
🥇	eerste, goud, gouden, medaille, medaille 1e plaats
🥈	medaille, medaille 2e plaats, tweede, zilver
🥉	brons, bronzen, derde, medaille, medaille 3e plaats
⚽️	bal, voetbal
⚾️	bal, honkbal
🥎	bal, handschoen, onderarm, softbal
🏀	bal, basket, basketbal
🏐	bal, volleybal, wedstrijd
🏈	american football, amerikaans, bal, football
🏉	bal, rugby, voetbal
🎾	bal, tennis, tennisracket
🥏	frisbee, ultiem
🎳	bal, bowlen, spel
🏏	bal, bat, cricket, wedstrijd
🏑	bal, hockey, stick, veld, wedstrijd
🏒	ijs, ijshockey, ijshockeystick en puck, puck, stick, wedstrijd
🥍	bal, doel, lacrosse, stick
🏓	bal, bat, batje, pingpong, tafeltennis, wedstrijd
🏸	badminton, pluimbal, racket, shuttle, wedstrijd
🥊	boksen, bokshandschoen, handschoen, sport
🥋	judo, karate, pak voor vechtsporten, taekwondo, uniform, vechtsport
🥅	doel, doelnet, goal, net, sport
⛳️	golf, hole, vlag in hole
⛸️	ijs, schaats
🎣	hengel, vis, vishengel
🤿	duikbril, duiken, scubaduiken, snorkelen
🎽	hardloopshirt, hardlopen, shirt, sjerp
🎿	ski, ski’s, sneeuw
🛷	slede, slee, sleetje
🥌	curlingsteen, kei, spel
🎯	bull’s eye, darts, directe treffer, doelwit, spel, treffer
🪀	fluctueren, jojo, speelgoed
🪁	vliegen, vlieger, zweven
🎱	8, 8 ball, acht, bal, biljart, spel
🔮	bol, kristal, kristallen bol, waarzeggen, waarzeggerij
🧿	Nazar, Nazar-amulet, amulet, boze oog, kraal, talisman
🎮️	controller, game, gamecontroller, videogame
🕹️	game, joystick, videogame
🎰	fruitautomaat, spel
🎲	dobbelsteen, dobbelstenen, spel
🧩	aanwijzing, gekoppeld, legpuzzel, puzzel, puzzelstukje
🧸	knuffel, pluche, speelgoed, speeltje, teddybeer
♠️	kaart, kaarten, ruiten, schoppen, spel
♥️	hart, harten, kaart, kaarten, spel
♦️	kaart, kaarten, ruit, ruiten, spel
♣️	kaart, kaarten, klaver, klaveren, spel
♟️	pion, schaken, slachtoffer, waardeloos
🃏	Jokerkaart, joker, jokerkaart, kaart, spel
🀄️	mahjong, mahjong rode draak, rood, spel
🎴	bloem, bloemspeelkaarten, japans, kaart, speelkaarten, spel, spelen
🎭️	kunst, masker, theater, toneel, toneelkunst, toneelkunsten
🖼️	afbeelding, kunst, lijst, lijst met afbeelding, museum, schilderij
🎨	kunst, museum, palet, schilderij, schilderspalet
🧵	draad, garen, klos, naaien, naald
🧶	bal, breien, haken, wol
👓️	bril, brillen, kleding, oog
🕶️	bril, brillen, donker, oog, zonnebril
🥽	lassen, oogbescherming, oogscherm, zwemmen
🥼	dokter, experiment, labjas, wetenschapper
🦺	noodgeval, veiligheid, veilig­heids­vest, vest
👔	kleding, stropdas
👕	T-shirt, kleding, shirt
👖	jeans, kleding, spijkerbroek
🧣	nek, sjaal
🧤	hand, handschoenen
🧥	blazer, jas
🧦	kousen, sokken
👗	jurk, kleding
👘	kimono, kleding
🥻	jurk, kleding, sari
🩱	badpak, zwempak
🩲	ondergoed, slip, zwembroek
🩳	korte broek, onderbroek, shorts, zwembroek
👙	bikini, kleding, zwemmen
👚	dames, dameskleding, kleding
👛	kleding, munt, portemonnee
👜	handtas, kleding, tas
👝	enveloptas, kleding, tas, tasje
🛍️	boodschappentassen, hotel, tas, winkelen
🎒	rugzak, school, schooltas, tas
👞	herenschoen, kleding, man, schoen
👟	atletiek, kleding, schoen, sneaker, sportschoen
🥾	kamperen, schoen, trotteur, wandelen, wandelschoen
🥿	ballerina, instapper, platte schoen, slip-on
👠	hak, kleding, schoen, schoen met hoge hak, vrouw
👡	damessandaal, kleding, sandaal, schoen, vrouw
🩰	ballet, balletschoenen, dans
👢	dameslaars, kleding, laars, schoen, vrouw
👑	kleding, koning, koningin, kroon
👒	dameshoed, hoed, kleding, vrouw
🎩	hoed, hoge hoed, hoog, kleding
🎓️	academische baret, eindexamen, hoed, kleding, viering
🧢	baseballcap, pet
⛑️	gezicht, helm, helm van reddingswerker, hoed, hulp, kruis
📿	gebed, gebedssnoer, geloof, ketting, kleding, kralen
💄	cosmetica, lippenstift, make-up
💍	diamant, ring
💎	diamant, edelsteen, juweel, romantiek
🔇	dempen, luidspreker, speaker uit, stil, volume
🔈️	speaker, volume
🔉	speaker, speaker aan
🔊	luid, speaker luid
📢	luid, luidspreker, toespraak, toespreken
📣	communicatie, juichen, megafoon
📯	hoorn, post, posthoorn
🔔	bel, klok
🔕	bel, doorgestreepte bel, geen, geluid uit, niet toegestaan, stil
🎼	muziek, notenschift, partituur
🎵	muziek, muzieknoot, noot
🎶	muziek, muzieknoten, noot, noten
🎙️	microfoon, muziek, studio, studiomicrofoon
🎚️	muziek, niveau, schuif, schuifje, schuifregelaar
🎛️	bediening, controle, controleknoppen, knoppen, muziek
🎤	karaoke, microfoon
🎧️	hoofdtelefoon, oordopje
📻️	muziek, radio
🎷	instrument, muziek, muziekinstrument, sax, saxofoon
🎸	gitaar, instrument, muziek, muziekinstrument
🎹	instrument, keyboard, muziek, muziekinstrument, piano
🎺	instrument, muziek, muziekinstrument, trompet
🎻	instrument, muziek, muziekinstrument, viool
🪕	banjo, besnaard, muziek
🥁	drummen, muziek, trommel, trommelstokken
📱	mobiel, mobiele telefoon, telefoon
📲	mobiel, mobiel met pijl, mobiele telefoon, ontvangen, pijl, telefoon
☎️	telefoon
📞	hoorn, telefoon, telefoonhoorn
📟️	pager
📠	fax, faxapparaat
🔋	batterij
🔌	elektriciteit, elektrisch, stekker
💻️	computer, laptop, pc, personal computer
🖥️	computer, desktop
🖨️	computer, printer
⌨️	computer, toetsenbord
🖱️	computer, computermuis
🖲️	computer, trackball
💽	computer, disk, harddisk, optisch
💾	disk, diskette, floppy, floppydisk
💿️	cd, computer, optisch, optische schijf, schijf
📀	blu-ray, computer, dvd, optisch, schijf
🧮	abacus, berekenen, telraam
🎥	bioscoop, camera, film, filmcamera
🎞️	bioscoop, film, filmframes, films, frames
📽️	bioscoop, film, filmprojector, projector, video
🎬️	entertainment, film, klap, klapbord, klapper
📺️	beeld, televisie, tv
📷️	camera, video
📸	camera, camera met flitser, flitser, video
📹️	camera, video, videocamera
📼	band, vhs, video, videoband
🔍	gereedschap, glas, vergrootglas naar links gericht, vergroten, zoeken
🔎	gereedschap, glas, vergrootglas naar rechts gericht, vergroten, zoeken
🕯️	kaars, licht
💡	elektrisch, gloeilamp, idee, licht, peertje, strip
🔦	elektrisch, lamp, licht, zaklamp, zaklantaarn
🏮	bar, lantaarn, licht, rode papieren lantaarn, rood
🪔	diya, diya-lamp, lamp, olie
📔	boek, notitieboekje, omslag, schrift, versierd, versierd schrift
📕	boek, gesloten, gesloten boek
📖	boek, geopend, geopend boek, open
📗	boek, groen, groen boek
📘	blauw, blauw boek, boek
📙	boek, oranje, oranje boek
📚️	boek, boeken
📓	notitieboek, schrift
📒	grootboek, notitieboek, schrift
📃	document, krul, omkrullende pagina, pagina, pagina met krul
📜	papierrol, rol
📄	document, pagina, pagina met bovenzijde omhoog
📰	krant, nieuws, nieuwsblad
🗞	krant, nieuws, nieuwsblad, opgerold, opgerolde krant
📑	bladwijzer, bladwijzertabs, markering, tabs
🔖	bladwijzer, markering
🏷️	label
💰️	dollar, geld, geldzak, zak, zak met geld
💴	bankbiljet, biljet, briefje, geld, valuta, yen, yenbiljet
💵	bankbiljet, biljet, briefje, dollar, dollarbiljet, geld, valuta
💶	bankbiljet, biljet, briefje, euro, eurobiljet, geld, valuta
💷	bankbiljet, biljet, briefje, geld, pond, pondbiljet, valuta
💸	bankbiljet, biljet, geld, geld met vleugels, vleugels, vliegen, vliegend geld
💳️	bank, creditcard, geld, kaart, krediet
🧾	administratie, bewijs, boekhouding, kassabon, kwitantie
💹	diagram, geld, grafiek, groei, stijgende grafiek met yenteken, yen
💱	geld, geld wisselen, valuta, wisselen
💲	dollar, dollarteken, geld, vetgedrukt dollarteken
✉️	e-mail, email, envelop, mail
📧	brief, e-mail, mail, post
📨	brief, e-mail, elektronische post, envelop, inkomend, inkomende post, ontvangen
📩	e-mail, elektronische post, envelop, envelop met pijl, pijl, uitgaand
📤️	brief, mail, post, postvak, postvak uit, verzonden
📥️	brief, mail, ontvangen, post, postvak, postvak in
📦️	doos, pakket, pakketje
📫️	brievenbus, gesloten, gesloten brievenbus met vlaggetje, gesloten brievenbus met vlaggetje omhoog, post, postbus
📪️	brievenbus, gesloten, gesloten brievenbus met vlaggetje omlaag, omlaag, post, postbus
📬️	brievenbus, open, open brievenbus met vlaggetje omhoog, post, postbus
📭️	brievenbus, omlaag, open, open brievenbus met vlaggetje omlaag, post, postbus
📮	brievenbus, post
🗳️	doos, stembus, stembus met stembiljet
✏️	potlood
✒️	kroontjespen met zwarte punt, pen, punt
🖋️	pen, vulpen
🖊️	ballpoint, balpen, pen
🖌️	kwast, penseel, schilderen, schilderkwast
🖍️	krijt, krijtje
📝	memo, potlood
💼	aktentas
📁	bestand, bestandsmap, map
📂	bestand, geopende bestandsmap, geopende map, map, open
🗂️	index, kaart, kaarten, tabbladen
📅	datum, kalender
📆	kalender, scheurkalender
🗒️	notitie, schrijfblok, schrijfblok met spiraal, spiraal
🗓️	blok, kalender, kalender met spiraal, spiraal
📇	index, kaart, kaartindex, rolodex
📈	diagram, grafiek, grafiek met stijgende trend, stijgend, stijgende trend
📉	dalend, dalende trend, diagram, grafiek, grafiek met dalende trend
📊	diagram, grafiek, staaf, staafdiagram
📋️	klembord
📌	punaise, speld
📍	kopspeld, ronde speld, speld
📎	clip, paperclip
🖇️	aan elkaar, paperclip, twee paperclips aan elkaar, vastgemaakt
📏	liniaal, rechte lijn
📐	driehoek, geo, geodriehoek, liniaal
✂️	gereedschap, schaar
🗃️	archief, bak, kaart, kaartenbak
🗄️	archief, archiefkast, kast
🗑️	prullenmand
🔒️	gesloten slot, slot
🔓️	geopend hangslot, hangslot, open
🔏	privacy, slot met pen, slot met vulpen, vulpen
🔐	beveiligd, gesloten, gesloten slot met sleutel, slot met sleutel
🔑	beveiligd, sleutel, wachtwoord
🗝️	aanwijzing, oud, oude sleutel, sleutel, slot
🔨	gereedschap, hamer
