😀	lledwenu, wyneb, wyneb yn gwenu â cheg agored
🤘🏽	arlliw croen canolog, arwydd y cyrn, arwydd y cyrn: arlliw croen canolog, bys, corff, cyrn, llaw
🤘🏾	arlliw croen canolig-tywyll, arwydd y cyrn, arwydd y cyrn: arlliw croen canolig-tywyll, bys, corff, cyrn, llaw
🤘🏿	arlliw croen tywyll, arwydd y cyrn, arwydd y cyrn: arlliw croen tywyll, bys, corff, cyrn, llaw
🤙	ffonio, llaw, llaw ffonia fi
🤙🏻	arlliw croen golau, ffonio, llaw, llaw ffonia fi, llaw ffonia fi: arlliw croen golau
🤙🏼	arlliw croen canolig-golau, ffonio, llaw, llaw ffonia fi, llaw ffonia fi: arlliw croen canolig-golau
🤙🏽	arlliw croen canolog, ffonio, llaw, llaw ffonia fi, llaw ffonia fi: arlliw croen canolog
🤙🏾	arlliw croen canolig-tywyll, ffonio, llaw, llaw ffonia fi, llaw ffonia fi: arlliw croen canolig-tywyll
🤙🏿	arlliw croen tywyll, ffonio, llaw, llaw ffonia fi, llaw ffonia fi: arlliw croen tywyll
👈️	bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith
👈🏻	arlliw croen golau, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith, mynegfys yr wrthlaw yn pwyntio i’r chwith: arlliw croen golau
👈🏼	arlliw croen canolig-golau, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith, mynegfys yr wrthlaw yn pwyntio i’r chwith: arlliw croen canolig-golau
👈🏽	arlliw croen canolog, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith, mynegfys yr wrthlaw yn pwyntio i’r chwith: arlliw croen canolog
👈🏾	arlliw croen canolig-tywyll, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith, mynegfys yr wrthlaw yn pwyntio i’r chwith: arlliw croen canolig-tywyll
👈🏿	arlliw croen tywyll, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r chwith, mynegfys yr wrthlaw yn pwyntio i’r chwith: arlliw croen tywyll
👉️	bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde
👉🏻	arlliw croen golau, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde, mynegfys yr wrthlaw yn pwyntio i’r dde: arlliw croen golau
👉🏼	arlliw croen canolig-golau, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde, mynegfys yr wrthlaw yn pwyntio i’r dde: arlliw croen canolig-golau
👉🏽	arlliw croen canolog, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde, mynegfys yr wrthlaw yn pwyntio i’r dde: arlliw croen canolog
👉🏾	arlliw croen canolig-tywyll, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde, mynegfys yr wrthlaw yn pwyntio i’r dde: arlliw croen canolig-tywyll
👉🏿	arlliw croen tywyll, bys, corff, gwrthlaw, llaw, mynegfys yr wrthlaw yn pwyntio i’r dde, mynegfys yr wrthlaw yn pwyntio i’r dde: arlliw croen tywyll
👆️	bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny
👆🏻	arlliw croen golau, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny, mynegfys yr wrthlaw yn pwyntio i fyny: arlliw croen golau
👆🏼	arlliw croen canolig-golau, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny, mynegfys yr wrthlaw yn pwyntio i fyny: arlliw croen canolig-golau
👆🏽	arlliw croen canolog, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny, mynegfys yr wrthlaw yn pwyntio i fyny: arlliw croen canolog
👆🏾	arlliw croen canolig-tywyll, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny, mynegfys yr wrthlaw yn pwyntio i fyny: arlliw croen canolig-tywyll
👆🏿	arlliw croen tywyll, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i fyny, mynegfys yr wrthlaw yn pwyntio i fyny: arlliw croen tywyll
🖕	bys, bys canol, corff, llaw
🖕🏻	arlliw croen golau, bys, bys canol, bys canol: arlliw croen golau, corff, llaw
🖕🏼	arlliw croen canolig-golau, bys, bys canol, bys canol: arlliw croen canolig-golau, corff, llaw
🖕🏽	arlliw croen canolog, bys, bys canol, bys canol: arlliw croen canolog, corff, llaw
🖕🏾	arlliw croen canolig-tywyll, bys, bys canol, bys canol: arlliw croen canolig-tywyll, corff, llaw
🖕🏿	arlliw croen tywyll, bys, bys canol, bys canol: arlliw croen tywyll, corff, llaw
👇️	bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr
👇🏻	arlliw croen golau, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr, mynegfys yr wrthlaw yn pwyntio i lawr: arlliw croen golau
👇🏼	arlliw croen canolig-golau, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr, mynegfys yr wrthlaw yn pwyntio i lawr: arlliw croen canolig-golau
👇🏽	arlliw croen canolog, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr, mynegfys yr wrthlaw yn pwyntio i lawr: arlliw croen canolog
👇🏾	arlliw croen canolig-tywyll, bys, corff, gwrthlaw, mynegfys, mynegfys yr wrthlaw yn pwyntio i lawr, mynegfys yr wrthlaw yn pwyntio i lawr: arlliw croen canolig-tywyll
