😀	lol, rindo, risada, rosto, rosto risonho
✊🏿	pele escura, punho erguido, punho levantado, punho levantado: pele escura
👊	mão, punho, soco
👊🏻	mão, pele clara, punho, soco, soco: pele clara
👊🏼	mão, pele morena clara, punho, soco, soco: pele morena clara
👊🏽	mão, pele morena, punho, soco, soco: pele morena
👊🏾	mão, pele morena escura, punho, soco, soco: pele morena escura
👊🏿	mão, pele escura, punho, soco, soco: pele escura
🤛	esquerdo, punho, punho esquerdo, soco
🤛🏻	esquerdo, pele clara, punho, punho esquerdo: pele clara, soco
🤛🏼	esquerdo, pele morena clara, punho, punho esquerdo: pele morena clara, soco
🤛🏽	esquerdo, pele morena, punho, punho esquerdo: pele morena, soco
🤛🏾	esquerdo, pele morena escura, punho, punho esquerdo: pele morena escura, soco
🤛🏿	esquerdo, pele escura, punho, punho esquerdo: pele escura, soco
🤜	direito, punho, punho direito, soco
🤜🏻	direito, pele clara, punho, punho direito: pele clara, soco
🤜🏼	direito, pele morena clara, punho, punho direito: pele morena clara, soco
🤜🏽	direito, pele morena, punho, punho direito: pele morena, soco
🤜🏾	direito, pele morena escura, punho, punho direito: pele morena escura, soco
🤜🏿	direito, pele escura, punho, punho direito: pele escura, soco
👏	aplauso, mãos, mãos aplaudindo, sinal
👏🏻	aplauso, mãos, mãos aplaudindo, mãos aplaudindo: pele clara, pele clara, sinal
👏🏼	aplauso, mãos, mãos aplaudindo, mãos aplaudindo: pele morena clara, pele morena clara, sinal
👏🏽	aplauso, mãos, mãos aplaudindo, mãos aplaudindo: pele morena, pele morena, sinal
👏🏾	aplauso, mãos, mãos aplaudindo, mãos aplaudindo: pele morena escura, pele morena escura, sinal
👏🏿	aplauso, mãos, mãos aplaudindo, mãos aplaudindo: pele escura, pele escura, sinal
🙌	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima
🙌🏻	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima, mãos para cima: pele clara, pele clara
🙌🏼	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima, mãos para cima: pele morena clara, pele morena clara
🙌🏽	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima, mãos para cima: pele morena, pele morena
🙌🏾	ambas as mãos, comemoração, levantando ambas as mãos para comemorar, mãos para cima, mãos para cima: pele morena escura, pele morena escura
