😀	бет, ырсай, ырсайган бет
🖖🏼	буудай жүздүү, вулкан, вулкандыктарча салам, вулкандыктарча салам: буудай жүздүү, дене, кол, манжа
🖖🏽	вулкан, вулкандыктарча салам, вулкандыктарча салам: орточо, дене, кол, манжа, орточо
🖖🏾	вулкан, вулкандыктарча салам, вулкандыктарча салам: кара тору, дене, кара тору, кол, манжа
🖖🏿	вулкан, вулкандыктарча салам, вулкандыктарча салам: кара, дене, кара, кол, манжа
👌	«ОК» белгиси, ОК, дене, кол
👌🏻	«ОК» белгиси, «ОК» белгиси: акжуумал, ОК, акжуумал, дене, кол
👌🏼	«ОК» белгиси, «ОК» белгиси: буудай жүздүү, ОК, буудай жүздүү, дене, кол
👌🏽	«ОК» белгиси, «ОК» белгиси: орточо, ОК, дене, кол, орточо
👌🏾	«ОК» белгиси, «ОК» белгиси: кара тору, ОК, дене, кара тору, кол
👌🏿	«ОК» белгиси, «ОК» белгиси: кара, ОК, дене, кара, кол
🤏	аз санда, чычмыган кол
🤏🏻	аз санда, акжуумал, чычмыган кол, чычмыган кол: акжуумал
🤏🏼	аз санда, буудай жүздүү, чычмыган кол, чычмыган кол: буудай жүздүү
🤏🏽	аз санда, орточо, чычмыган кол, чычмыган кол: орточо
🤏🏾	аз санда, кара тору, чычмыган кол, чычмыган кол: кара тору
🤏🏿	аз санда, кара, чычмыган кол, чычмыган кол: кара
✌️	ийгилик, кол, эки дегенди көрсөткөн манжалар
✌🏻	акжуумал, ийгилик, кол, эки дегенди көрсөткөн манжалар, эки дегенди көрсөткөн манжалар: акжуумал
✌🏼	буудай жүздүү, ийгилик, кол, эки дегенди көрсөткөн манжалар, эки дегенди көрсөткөн манжалар: буудай жүздүү
✌🏽	ийгилик, кол, орточо, эки дегенди көрсөткөн манжалар, эки дегенди көрсөткөн манжалар: орточо
✌🏾	ийгилик, кара тору, кол, эки дегенди көрсөткөн манжалар, эки дегенди көрсөткөн манжалар: кара тору
✌🏿	ийгилик, кара, кол, эки дегенди көрсөткөн манжалар, эки дегенди көрсөткөн манжалар: кара
🤞	ийгилик, кайчылаштырылган манжалар
🤞🏻	акжуумал, ийгилик, кайчылаштырылган манжалар, кайчылаштырылган манжалар: акжуумал
🤞🏼	буудай жүздүү, ийгилик, кайчылаштырылган манжалар, кайчылаштырылган манжалар: буудай жүздүү
🤞🏽	ийгилик, кайчылаштырылган манжалар, кайчылаштырылган манжалар: орточо, орточо
🤞🏾	ийгилик, кайчылаштырылган манжалар, кайчылаштырылган манжалар: кара тору, кара тору
🤞🏿	ийгилик, кайчылаштырылган манжалар, кайчылаштырылган манжалар: кара, кара
🤟	кол, сени сүйөм, сүйөм сени деген ишарат
🤟🏻	акжуумал, кол, сени сүйөм, сүйөм сени деген ишарат, сүйөм сени деген ишарат: акжуумал
🤟🏼	буудай жүздүү, кол, сени сүйөм, сүйөм сени деген ишарат, сүйөм сени деген ишарат: буудай жүздүү
🤟🏽	кол, орточо, сени сүйөм, сүйөм сени деген ишарат, сүйөм сени деген ишарат: орточо
