😀	fjes, glis, glisefjes
👆🏽	finger, hudtype 4, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 4
👆🏾	finger, hudtype 5, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 5
👆🏿	finger, hudtype 6, hånd, pekende finger, peker opp, peker opp – bakhånd, peker opp – bakhånd: hudtype 6
🖕	finger, hånd, kropp, langfinger, vise fingeren
🖕🏻	finger, hudtype 1–2, hånd, kropp, langfinger, langfinger: hudtype 1–2, vise fingeren
🖕🏼	finger, hudtype 3, hånd, kropp, langfinger, langfinger: hudtype 3, vise fingeren
🖕🏽	finger, hudtype 4, hånd, kropp, langfinger, langfinger: hudtype 4, vise fingeren
🖕🏾	finger, hudtype 5, hånd, kropp, langfinger, langfinger: hudtype 5, vise fingeren
🖕🏿	finger, hudtype 6, hånd, kropp, langfinger, langfinger: hudtype 6, vise fingeren
👇️	finger, hånd, pekende finger, peker ned, peker ned – bakhånd
👇🏻	finger, hudtype 1–2, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 1–2
👇🏼	finger, hudtype 3, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 3
👇🏽	finger, hudtype 4, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 4
👇🏾	finger, hudtype 5, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 5
👇🏿	finger, hudtype 6, hånd, pekende finger, peker ned, peker ned – bakhånd, peker ned – bakhånd: hudtype 6
☝️	finger, hånd, kropp, opp, peke, pekefinger, peker opp
☝🏻	finger, hudtype 1–2, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 1–2
☝🏼	finger, hudtype 3, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 3
☝🏽	finger, hudtype 4, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 4
☝🏾	finger, hudtype 5, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 5
☝🏿	finger, hudtype 6, hånd, kropp, opp, peke, pekefinger, peker opp, peker opp: hudtype 6
👍️	hånd, tegn, tommel, tommel opp
👍🏻	hudtype 1–2, hånd, tegn, tommel, tommel opp, tommel opp: hudtype 1–2
👍🏼	hudtype 3, hånd, tegn, tommel, tommel opp, tommel opp: hudtype 3
👍🏽	hudtype 4, hånd, tegn, tommel, tommel opp, tommel opp: hudtype 4
👍🏾	hudtype 5, hånd, tegn, tommel, tommel opp, tommel opp: hudtype 5
👍🏿	hudtype 6, hånd, tegn, tommel, tommel opp, tommel opp: hudtype 6
👎️	hånd, tegn, tommel, tommel ned
👎🏻	hudtype 1–2, hånd, tegn, tommel, tommel ned, tommel ned: hudtype 1–2
👎🏼	hudtype 3, hånd, tegn, tommel, tommel ned, tommel ned: hudtype 3
👎🏽	hudtype 4, hånd, tegn, tommel, tommel ned, tommel ned: hudtype 4
👎🏾	hudtype 5, hånd, tegn, tommel, tommel ned, tommel ned: hudtype 5
👎🏿	hudtype 6, hånd, tegn, tommel, tommel ned, tommel ned: hudtype 6
✊	hevet knyttneve, hånd, knyttet neve, neve
✊🏻	hevet knyttneve, hevet knyttneve: hudtype 1–2, hudtype 1–2, hånd, knyttet neve, neve
✊🏼	hevet knyttneve, hevet knyttneve: hudtype 3, hudtype 3, hånd, knyttet neve, neve
✊🏽	hevet knyttneve, hevet knyttneve: hudtype 4, hudtype 4, hånd, knyttet neve, neve
✊🏾	hevet knyttneve, hevet knyttneve: hudtype 5, hudtype 5, hånd, knyttet neve, neve
✊🏿	hevet knyttneve, hevet knyttneve: hudtype 6, hudtype 6, hånd, knyttet neve, neve
👊	hånd, knyttneve, neve
👊🏻	hudtype 1–2, hånd, knyttneve, knyttneve: hudtype 1–2, neve
👊🏼	hudtype 3, hånd, knyttneve, knyttneve: hudtype 3, neve
👊🏽	hudtype 4, hånd, knyttneve, knyttneve: hudtype 4, neve
👊🏾	hudtype 5, hånd, knyttneve, knyttneve: hudtype 5, neve
👊🏿	hudtype 6, hånd, knyttneve, knyttneve: hudtype 6, neve
🤛	hånd, knyttneve mot venstre, neve, venstre, venstrevendt
🤛🏻	hudtype 1–2, hånd, knyttneve mot venstre, knyttneve mot venstre: hudtype 1–2, neve, venstre, venstrevendt
🤛🏼	hudtype 3, hånd, knyttneve mot venstre, knyttneve mot venstre: hudtype 3, neve, venstre, venstrevendt
🤛🏽	hudtype 4, hånd, knyttneve mot venstre, knyttneve mot venstre: hudtype 4, neve, venstre, venstrevendt
🤛🏾	hudtype 5, hånd, knyttneve mot venstre, knyttneve mot venstre: hudtype 5, neve, venstre, venstrevendt
🤛🏿	hudtype 6, hånd, knyttneve mot venstre, knyttneve mot venstre: hudtype 6, neve, venstre, venstrevendt
🤜	hånd, høyre, høyrevendt, knyttneve mot høyre, neve
🤜🏻	hudtype 1–2, hånd, høyre, høyrevendt, knyttneve mot høyre, knyttneve mot høyre: hudtype 1–2, neve
🤜🏼	hudtype 3, hånd, høyre, høyrevendt, knyttneve mot høyre, knyttneve mot høyre: hudtype 3, neve
🤜🏽	hudtype 4, hånd, høyre, høyrevendt, knyttneve mot høyre, knyttneve mot høyre: hudtype 4, neve
🤜🏾	hudtype 5, hånd, høyre, høyrevendt, knyttneve mot høyre, knyttneve mot høyre: hudtype 5, neve
🤜🏿	hudtype 6, hånd, høyre, høyrevendt, knyttneve mot høyre, knyttneve mot høyre: hudtype 6, neve
👏	hender, hånd, klappende hender, klapping
👏🏻	hender, hudtype 1–2, hånd, klappende hender, klappende hender: hudtype 1–2, klapping
👏🏼	hender, hudtype 3, hånd, klappende hender, klappende hender: hudtype 3, klapping
👏🏽	hender, hudtype 4, hånd, klappende hender, klappende hender: hudtype 4, klapping
👏🏾	hender, hudtype 5, hånd, klappende hender, klappende hender: hudtype 5, klapping
👏🏿	hender, hudtype 6, hånd, klappende hender, klappende hender: hudtype 6, klapping
🙌	begge hender, feirer, feiring, hevede hender, hånd, rekker begge armene i været
🙌🏻	begge hender, feirer, feiring, hevede hender, hevede hender: hudtype 1–2, hudtype 1–2, hånd, rekker begge armene i været
🙌🏼	begge hender, feirer, feiring, hevede hender, hevede hender: hudtype 3, hudtype 3, hånd, rekker begge armene i været
🙌🏽	begge hender, feirer, feiring, hevede hender, hevede hender: hudtype 4, hudtype 4, hånd, rekker begge armene i været
