😀	fjes, glis, glisefjes
⛹🏿‍♀	ballsport, hudtype 6, kvinne, kvinne med ball, kvinne med ball: hudtype 6
🏋️	løfter, vekt, vektløfter
🏋🏻	hudtype 1–2, løfter, vekt, vektløfter, vektløfter: hudtype 1–2
🏋🏼	hudtype 3, løfter, vekt, vektløfter, vektløfter: hudtype 3
🏋🏽	hudtype 4, løfter, vekt, vektløfter, vektløfter: hudtype 4
🏋🏾	hudtype 5, løfter, vekt, vektløfter, vektløfter: hudtype 5
🏋🏿	hudtype 6, løfter, vekt, vektløfter, vektløfter: hudtype 6
🏋‍♂	bodybuilding, mann, mannlig vektløfter, vektløfter
🏋🏻‍♂	bodybuilding, hudtype 1–2, mann, mannlig vektløfter, mannlig vektløfter: hudtype 1–2, vektløfter
🏋🏼‍♂	bodybuilding, hudtype 3, mann, mannlig vektløfter, mannlig vektløfter: hudtype 3, vektløfter
🏋🏽‍♂	bodybuilding, hudtype 4, mann, mannlig vektløfter, mannlig vektløfter: hudtype 4, vektløfter
🏋🏾‍♂	bodybuilding, hudtype 5, mann, mannlig vektløfter, mannlig vektløfter: hudtype 5, vektløfter
🏋🏿‍♂	bodybuilding, hudtype 6, mann, mannlig vektløfter, mannlig vektløfter: hudtype 6, vektløfter
🏋‍♀	bodybuilding, kvinne, kvinnelig vektløfter, vektløfting
🏋🏻‍♀	bodybuilding, hudtype 1–2, kvinne, kvinnelig vektløfter, kvinnelig vektløfter: hudtype 1–2, vektløfting
🏋🏼‍♀	bodybuilding, hudtype 3, kvinne, kvinnelig vektløfter, kvinnelig vektløfter: hudtype 3, vektløfting
🏋🏽‍♀	bodybuilding, hudtype 4, kvinne, kvinnelig vektløfter, kvinnelig vektløfter: hudtype 4, vektløfting
🏋🏾‍♀	bodybuilding, hudtype 5, kvinne, kvinnelig vektløfter, kvinnelig vektløfter: hudtype 5, vektløfting
🏋🏿‍♀	bodybuilding, hudtype 6, kvinne, kvinnelig vektløfter, kvinnelig vektløfter: hudtype 6, vektløfting
🚴	sykkel, sykle, syklist
🚴🏻	hudtype 1–2, sykkel, sykle, syklist, syklist: hudtype 1–2
🚴🏼	hudtype 3, sykkel, sykle, syklist, syklist: hudtype 3
🚴🏽	hudtype 4, sykkel, sykle, syklist, syklist: hudtype 4
🚴🏾	hudtype 5, sykkel, sykle, syklist, syklist: hudtype 5
🚴🏿	hudtype 6, sykkel, sykle, syklist, syklist: hudtype 6
🚴‍♂	mann, mannlig syklist, sykkel, sykle
🚴🏻‍♂	hudtype 1–2, mann, mannlig syklist, mannlig syklist: hudtype 1–2, sykkel, sykle
🚴🏼‍♂	hudtype 3, mann, mannlig syklist, mannlig syklist: hudtype 3, sykkel, sykle
🚴🏽‍♂	hudtype 4, mann, mannlig syklist, mannlig syklist: hudtype 4, sykkel, sykle
🚴🏾‍♂	hudtype 5, mann, mannlig syklist, mannlig syklist: hudtype 5, sykkel, sykle
🚴🏿‍♂	hudtype 6, mann, mannlig syklist, mannlig syklist: hudtype 6, sykkel, sykle
🚴‍♀	kvinne, kvinnelig syklist, sykkel, sykle
🚴🏻‍♀	hudtype 1–2, kvinne, kvinnelig syklist, kvinnelig syklist: hudtype 1–2, sykkel, sykle
🚴🏼‍♀	hudtype 3, kvinne, kvinnelig syklist, kvinnelig syklist: hudtype 3, sykkel, sykle
🚴🏽‍♀	hudtype 4, kvinne, kvinnelig syklist, kvinnelig syklist: hudtype 4, sykkel, sykle
🚴🏾‍♀	hudtype 5, kvinne, kvinnelig syklist, kvinnelig syklist: hudtype 5, sykkel, sykle
🚴🏿‍♀	hudtype 6, kvinne, kvinnelig syklist, kvinnelig syklist: hudtype 6, sykkel, sykle
🚵	mountainbike, terrengsykkel, terrengsyklist
🚵🏻	hudtype 1–2, mountainbike, terrengsykkel, terrengsyklist, terrengsyklist: hudtype 1–2
🚵🏼	hudtype 3, mountainbike, terrengsykkel, terrengsyklist, terrengsyklist: hudtype 3
🚵🏽	hudtype 4, mountainbike, terrengsykkel, terrengsyklist, terrengsyklist: hudtype 4
🚵🏾	hudtype 5, mountainbike, terrengsykkel, terrengsyklist, terrengsyklist: hudtype 5
🚵🏿	hudtype 6, mountainbike, terrengsykkel, terrengsyklist, terrengsyklist: hudtype 6
🚵‍♂	mann, mann på terrengsykkel, mountainbike, terrengsykkel
🚵🏻‍♂	hudtype 1–2, mann, mann på terrengsykkel, mann på terrengsykkel: hudtype 1–2, mountainbike, terrengsykkel
🚵🏼‍♂	hudtype 3, mann, mann på terrengsykkel, mann på terrengsykkel: hudtype 3, mountainbike, terrengsykkel
🚵🏽‍♂	hudtype 4, mann, mann på terrengsykkel, mann på terrengsykkel: hudtype 4, mountainbike, terrengsykkel
🚵🏾‍♂	hudtype 5, mann, mann på terrengsykkel, mann på terrengsykkel: hudtype 5, mountainbike, terrengsykkel
🚵🏿‍♂	hudtype 6, mann, mann på terrengsykkel, mann på terrengsykkel: hudtype 6, mountainbike, terrengsykkel
🚵‍♀	kvinne, kvinne på terrengsykkel, mountainbike, terrengsykkel
🚵🏻‍♀	hudtype 1–2, kvinne, kvinne på terrengsykkel, kvinne på terrengsykkel: hudtype 1–2, mountainbike, terrengsykkel
🚵🏼‍♀	hudtype 3, kvinne, kvinne på terrengsykkel, kvinne på terrengsykkel: hudtype 3, mountainbike, terrengsykkel
🚵🏽‍♀	hudtype 4, kvinne, kvinne på terrengsykkel, kvinne på terrengsykkel: hudtype 4, mountainbike, terrengsykkel
🚵🏾‍♀	hudtype 5, kvinne, kvinne på terrengsykkel, kvinne på terrengsykkel: hudtype 5, mountainbike, terrengsykkel
🚵🏿‍♀	hudtype 6, kvinne, kvinne på terrengsykkel, kvinne på terrengsykkel: hudtype 6, mountainbike, terrengsykkel
🤸	gym, gymnastikk, person, slå hjul, sport
🤸🏻	gym, gymnastikk, hudtype 1–2, person, slå hjul, slå hjul: hudtype 1–2, sport
🤸🏼	gym, gymnastikk, hudtype 3, person, slå hjul, slå hjul: hudtype 3, sport
🤸🏽	gym, gymnastikk, hudtype 4, person, slå hjul, slå hjul: hudtype 4, sport
🤸🏾	gym, gymnastikk, hudtype 5, person, slå hjul, slå hjul: hudtype 5, sport
🤸🏿	gym, gymnastikk, hudtype 6, person, slå hjul, slå hjul: hudtype 6, sport
🤸‍♂	mann, mann som slår hjul, slå hjul
🤸🏻‍♂	hudtype 1–2, mann, mann som slår hjul, mann som slår hjul: hudtype 1–2, slå hjul
🤸🏼‍♂	hudtype 3, mann, mann som slår hjul, mann som slår hjul: hudtype 3, slå hjul
🤸🏽‍♂	hudtype 4, mann, mann som slår hjul, mann som slår hjul: hudtype 4, slå hjul
🤸🏾‍♂	hudtype 5, mann, mann som slår hjul, mann som slår hjul: hudtype 5, slå hjul
🤸🏿‍♂	hudtype 6, mann, mann som slår hjul, mann som slår hjul: hudtype 6, slå hjul
🤸‍♀	kvinne, kvinne som slår hjul, slå hjul
🤸🏻‍♀	hudtype 1–2, kvinne, kvinne som slår hjul, kvinne som slår hjul: hudtype 1–2, slå hjul
🤸🏼‍♀	hudtype 3, kvinne, kvinne som slår hjul, kvinne som slår hjul: hudtype 3, slå hjul
🤸🏽‍♀	hudtype 4, kvinne, kvinne som slår hjul, kvinne som slår hjul: hudtype 4, slå hjul
🤸🏾‍♀	hudtype 5, kvinne, kvinne som slår hjul, kvinne som slår hjul: hudtype 5, slå hjul
🤸🏿‍♀	hudtype 6, kvinne, kvinne som slår hjul, kvinne som slår hjul: hudtype 6, slå hjul
🤼	bryter, brytere, bryting, person, sport
🤼‍♂	bryter, mann, mannlige brytere, menn
🤼‍♀	bryter, kvinne, kvinnelige brytere, kvinner
🤽	person, polo, sport, vann, vannpolo
🤽🏻	hudtype 1–2, person, polo, sport, vann, vannpolo, vannpolo: hudtype 1–2
🤽🏼	hudtype 3, person, polo, sport, vann, vannpolo, vannpolo: hudtype 3
🤽🏽	hudtype 4, person, polo, sport, vann, vannpolo, vannpolo: hudtype 4
🤽🏾	hudtype 5, person, polo, sport, vann, vannpolo, vannpolo: hudtype 5
🤽🏿	hudtype 6, person, polo, sport, vann, vannpolo, vannpolo: hudtype 6
🤽‍♂	mann, mannlig vannpolospiller, vannpolo
🤽🏻‍♂	hudtype 1–2, mann, mannlig vannpolospiller, mannlig vannpolospiller: hudtype 1–2, vannpolo
🤽🏼‍♂	hudtype 3, mann, mannlig vannpolospiller, mannlig vannpolospiller: hudtype 3, vannpolo
🤽🏽‍♂	hudtype 4, mann, mannlig vannpolospiller, mannlig vannpolospiller: hudtype 4, vannpolo
🤽🏾‍♂	hudtype 5, mann, mannlig vannpolospiller, mannlig vannpolospiller: hudtype 5, vannpolo
🤽🏿‍♂	hudtype 6, mann, mannlig vannpolospiller, mannlig vannpolospiller: hudtype 6, vannpolo
🤽‍♀	kvinne, kvinnelig vannpolospiller, vannpolo
🤽🏻‍♀	hudtype 1–2, kvinne, kvinnelig vannpolospiller, kvinnelig vannpolospiller: hudtype 1–2, vannpolo
🤽🏼‍♀	hudtype 3, kvinne, kvinnelig vannpolospiller, kvinnelig vannpolospiller: hudtype 3, vannpolo
🤽🏽‍♀	hudtype 4, kvinne, kvinnelig vannpolospiller, kvinnelig vannpolospiller: hudtype 4, vannpolo
🤽🏾‍♀	hudtype 5, kvinne, kvinnelig vannpolospiller, kvinnelig vannpolospiller: hudtype 5, vannpolo
🤽🏿‍♀	hudtype 6, kvinne, kvinnelig vannpolospiller, kvinnelig vannpolospiller: hudtype 6, vannpolo
🤾	ball, håndball, person, sport
🤾🏻	ball, hudtype 1–2, håndball, håndball: hudtype 1–2, person, sport
🤾🏼	ball, hudtype 3, håndball, håndball: hudtype 3, person, sport
🤾🏽	ball, hudtype 4, håndball, håndball: hudtype 4, person, sport
🤾🏾	ball, hudtype 5, håndball, håndball: hudtype 5, person, sport
🤾🏿	ball, hudtype 6, håndball, håndball: hudtype 6, person, sport
🤾‍♂	håndball, mann, mannlig håndballspiller
🤾🏻‍♂	hudtype 1–2, håndball, mann, mannlig håndballspiller, mannlig håndballspiller: hudtype 1–2
🤾🏼‍♂	hudtype 3, håndball, mann, mannlig håndballspiller, mannlig håndballspiller: hudtype 3
🤾🏽‍♂	hudtype 4, håndball, mann, mannlig håndballspiller, mannlig håndballspiller: hudtype 4
🤾🏾‍♂	hudtype 5, håndball, mann, mannlig håndballspiller, mannlig håndballspiller: hudtype 5
🤾🏿‍♂	hudtype 6, håndball, mann, mannlig håndballspiller, mannlig håndballspiller: hudtype 6
🤾‍♀	håndball, kvinne, kvinnelig håndballspiller
🤾🏻‍♀	hudtype 1–2, håndball, kvinne, kvinnelig håndballspiller, kvinnelig håndballspiller: hudtype 1–2
🤾🏼‍♀	hudtype 3, håndball, kvinne, kvinnelig håndballspiller, kvinnelig håndballspiller: hudtype 3
🤾🏽‍♀	hudtype 4, håndball, kvinne, kvinnelig håndballspiller, kvinnelig håndballspiller: hudtype 4
🤾🏾‍♀	hudtype 5, håndball, kvinne, kvinnelig håndballspiller, kvinnelig håndballspiller: hudtype 5
🤾🏿‍♀	hudtype 6, håndball, kvinne, kvinnelig håndballspiller, kvinnelig håndballspiller: hudtype 6
🤹	balanse, ferdighet, multitasking, sjonglering
🤹🏻	balanse, ferdighet, hudtype 1–2, multitasking, sjonglering, sjonglering: hudtype 1–2
🤹🏼	balanse, ferdighet, hudtype 3, multitasking, sjonglering, sjonglering: hudtype 3
🤹🏽	balanse, ferdighet, hudtype 4, multitasking, sjonglering, sjonglering: hudtype 4
🤹🏾	balanse, ferdighet, hudtype 5, multitasking, sjonglering, sjonglering: hudtype 5
🤹🏿	balanse, ferdighet, hudtype 6, multitasking, sjonglering, sjonglering: hudtype 6
🤹‍♂	mann, mannlig sjonglør, sirkus, sjonglere
🤹🏻‍♂	hudtype 1–2, mann, mannlig sjonglør, mannlig sjonglør: hudtype 1–2, sirkus, sjonglere
🤹🏼‍♂	hudtype 3, mann, mannlig sjonglør, mannlig sjonglør: hudtype 3, sirkus, sjonglere
🤹🏽‍♂	hudtype 4, mann, mannlig sjonglør, mannlig sjonglør: hudtype 4, sirkus, sjonglere
🤹🏾‍♂	hudtype 5, mann, mannlig sjonglør, mannlig sjonglør: hudtype 5, sirkus, sjonglere
🤹🏿‍♂	hudtype 6, mann, mannlig sjonglør, mannlig sjonglør: hudtype 6, sirkus, sjonglere
🤹‍♀	kvinne, kvinnelig sjonglør, sirkus, sjonglere
🤹🏻‍♀	hudtype 1–2, kvinne, kvinnelig sjonglør, kvinnelig sjonglør: hudtype 1–2, sirkus, sjonglere
🤹🏼‍♀	hudtype 3, kvinne, kvinnelig sjonglør, kvinnelig sjonglør: hudtype 3, sirkus, sjonglere
🤹🏽‍♀	hudtype 4, kvinne, kvinnelig sjonglør, kvinnelig sjonglør: hudtype 4, sirkus, sjonglere
🤹🏾‍♀	hudtype 5, kvinne, kvinnelig sjonglør, kvinnelig sjonglør: hudtype 5, sirkus, sjonglere
🤹🏿‍♀	hudtype 6, kvinne, kvinnelig sjonglør, kvinnelig sjonglør: hudtype 6, sirkus, sjonglere
🧘	lotusstilling, meditasjon, yoga
🧘🏻	hudtype 1–2, lotusstilling, lotusstilling: hudtype 1–2, meditasjon, yoga
🧘🏼	hudtype 3, lotusstilling, lotusstilling: hudtype 3, meditasjon, yoga
🧘🏽	hudtype 4, lotusstilling, lotusstilling: hudtype 4, meditasjon, yoga
🧘🏾	hudtype 5, lotusstilling, lotusstilling: hudtype 5, meditasjon, yoga
🧘🏿	hudtype 6, lotusstilling, lotusstilling: hudtype 6, meditasjon, yoga
🧘‍♂	mann i lotusstilling, meditasjon, yoga
🧘🏻‍♂	hudtype 1–2, mann i lotusstilling, mann i lotusstilling: hudtype 1–2, meditasjon, yoga
🧘🏼‍♂	hudtype 3, mann i lotusstilling, mann i lotusstilling: hudtype 3, meditasjon, yoga
🧘🏽‍♂	hudtype 4, mann i lotusstilling, mann i lotusstilling: hudtype 4, meditasjon, yoga
🧘🏾‍♂	hudtype 5, mann i lotusstilling, mann i lotusstilling: hudtype 5, meditasjon, yoga
🧘🏿‍♂	hudtype 6, mann i lotusstilling, mann i lotusstilling: hudtype 6, meditasjon, yoga
🧘‍♀	kvinne i lotusstilling, meditasjon, yoga
🧘🏻‍♀	hudtype 1–2, kvinne i lotusstilling, kvinne i lotusstilling: hudtype 1–2, meditasjon, yoga
🧘🏼‍♀	hudtype 3, kvinne i lotusstilling, kvinne i lotusstilling: hudtype 3, meditasjon, yoga
🧘🏽‍♀	hudtype 4, kvinne i lotusstilling, kvinne i lotusstilling: hudtype 4, meditasjon, yoga
🧘🏾‍♀	hudtype 5, kvinne i lotusstilling, kvinne i lotusstilling: hudtype 5, meditasjon, yoga
🧘🏿‍♀	hudtype 6, kvinne i lotusstilling, kvinne i lotusstilling: hudtype 6, meditasjon, yoga
🛀	bad, badekar, person i badekar
🛀🏻	bad, badekar, hudtype 1–2, person i badekar, person i badekar: hudtype 1–2
🛀🏼	bad, badekar, hudtype 3, person i badekar, person i badekar: hudtype 3
🛀🏽	bad, badekar, hudtype 4, person i badekar, person i badekar: hudtype 4
🛀🏾	bad, badekar, hudtype 5, person i badekar, person i badekar: hudtype 5
🛀🏿	bad, badekar, hudtype 6, person i badekar, person i badekar: hudtype 6
🛌	hotell, person i seng, sove
🛌🏻	hotell, hudtype 1–2, person i seng, person i seng: hudtype 1–2, sove
🛌🏼	hotell, hudtype 3, person i seng, person i seng: hudtype 3, sove
🛌🏽	hotell, hudtype 4, person i seng, person i seng: hudtype 4, sove
🛌🏾	hotell, hudtype 5, person i seng, person i seng: hudtype 5, sove
🛌🏿	hotell, hudtype 6, person i seng, person i seng: hudtype 6, sove
🧑‍🤝‍🧑	holde hender, par, personer, personer som leier
🧑🏻‍🤝‍🧑🏻	holde hender, hudtype 1–2, par, personer, personer som leier, personer som leier: hudtype 1–2
🧑🏼‍🤝‍🧑🏻	holde hender, hudtype 1–2, hudtype 3, par, personer, personer som leier, personer som leier: hudtype 3, hudtype 1–2
🧑🏼‍🤝‍🧑🏼	holde hender, hudtype 3, par, personer, personer som leier, personer som leier: hudtype 3
🧑🏽‍🤝‍🧑🏻	holde hender, hudtype 1–2, hudtype 4, par, personer, personer som leier, personer som leier: hudtype 4, hudtype 1–2
🧑🏽‍🤝‍🧑🏼	holde hender, hudtype 3, hudtype 4, par, personer, personer som leier, personer som leier: hudtype 4, hudtype 3
🧑🏽‍🤝‍🧑🏽	holde hender, hudtype 4, par, personer, personer som leier, personer som leier: hudtype 4
🧑🏾‍🤝‍🧑🏻	holde hender, hudtype 1–2, hudtype 5, par, personer, personer som leier, personer som leier: hudtype 5, hudtype 1–2
🧑🏾‍🤝‍🧑🏼	holde hender, hudtype 3, hudtype 5, par, personer, personer som leier, personer som leier: hudtype 5, hudtype 3
🧑🏾‍🤝‍🧑🏽	holde hender, hudtype 4, hudtype 5, par, personer, personer som leier, personer som leier: hudtype 5, hudtype 4
🧑🏾‍🤝‍🧑🏾	holde hender, hudtype 5, par, personer, personer som leier, personer som leier: hudtype 5
🧑🏿‍🤝‍🧑🏻	holde hender, hudtype 1–2, hudtype 6, par, personer, personer som leier, personer som leier: hudtype 6, hudtype 1–2
🧑🏿‍🤝‍🧑🏼	holde hender, hudtype 3, hudtype 6, par, personer, personer som leier, personer som leier: hudtype 6, hudtype 3
🧑🏿‍🤝‍🧑🏽	holde hender, hudtype 4, hudtype 6, par, personer, personer som leier, personer som leier: hudtype 6, hudtype 4
🧑🏿‍🤝‍🧑🏾	holde hender, hudtype 5, hudtype 6, par, personer, personer som leier, personer som leier: hudtype 6, hudtype 5
🧑🏿‍🤝‍🧑🏿	holde hender, hudtype 6, par, personer, personer som leier, personer som leier: hudtype 6
👭	holder hender, kvinne, kvinner som leier, par, to kvinner som leier
👭🏻	holder hender, hudtype 1–2, kvinne, kvinner som leier, kvinner som leier: hudtype 1–2, par, to kvinner som leier
👩🏼‍🤝‍👩🏻	holder hender, hudtype 1–2, hudtype 3, kvinne, kvinner som leier, kvinner som leier: hudtype 3, hudtype 1–2, par, to kvinner som leier
👭🏼	holder hender, hudtype 3, kvinne, kvinner som leier, kvinner som leier: hudtype 3, par, to kvinner som leier
👩🏽‍🤝‍👩🏻	holder hender, hudtype 1–2, hudtype 4, kvinne, kvinner som leier, kvinner som leier: hudtype 4, hudtype 1–2, par, to kvinner som leier
👩🏽‍🤝‍👩🏼	holder hender, hudtype 3, hudtype 4, kvinne, kvinner som leier, kvinner som leier: hudtype 4, hudtype 3, par, to kvinner som leier
👭🏽	holder hender, hudtype 4, kvinne, kvinner som leier, kvinner som leier: hudtype 4, par, to kvinner som leier
👩🏾‍🤝‍👩🏻	holder hender, hudtype 1–2, hudtype 5, kvinne, kvinner som leier, kvinner som leier: hudtype 5, hudtype 1–2, par, to kvinner som leier
👩🏾‍🤝‍👩🏼	holder hender, hudtype 3, hudtype 5, kvinne, kvinner som leier, kvinner som leier: hudtype 5, hudtype 3, par, to kvinner som leier
👩🏾‍🤝‍👩🏽	holder hender, hudtype 4, hudtype 5, kvinne, kvinner som leier, kvinner som leier: hudtype 5, hudtype 4, par, to kvinner som leier
👭🏾	holder hender, hudtype 5, kvinne, kvinner som leier, kvinner som leier: hudtype 5, par, to kvinner som leier
👩🏿‍🤝‍👩🏻	holder hender, hudtype 1–2, hudtype 6, kvinne, kvinner som leier, kvinner som leier: hudtype 6, hudtype 1–2, par, to kvinner som leier
👩🏿‍🤝‍👩🏼	holder hender, hudtype 3, hudtype 6, kvinne, kvinner som leier, kvinner som leier: hudtype 6, hudtype 3, par, to kvinner som leier
👩🏿‍🤝‍👩🏽	holder hender, hudtype 4, hudtype 6, kvinne, kvinner som leier, kvinner som leier: hudtype 6, hudtype 4, par, to kvinner som leier
👩🏿‍🤝‍👩🏾	holder hender, hudtype 5, hudtype 6, kvinne, kvinner som leier, kvinner som leier: hudtype 6, hudtype 5, par, to kvinner som leier
👭🏿	holder hender, hudtype 6, kvinne, kvinner som leier, kvinner som leier: hudtype 6, par, to kvinner som leier
👫	holder hender, kvinne, mann, mann og kvinne som leier, par
👫🏻	holder hender, hudtype 1–2, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 1–2, par
👩🏻‍🤝‍👨🏼	holder hender, hudtype 1–2, hudtype 3, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 1–2, hudtype 3, par
👩🏻‍🤝‍👨🏽	holder hender, hudtype 1–2, hudtype 4, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 1–2, hudtype 4, par
👩🏻‍🤝‍👨🏾	holder hender, hudtype 1–2, hudtype 5, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 1–2, hudtype 5, par
👩🏻‍🤝‍👨🏿	holder hender, hudtype 1–2, hudtype 6, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 1–2, hudtype 6, par
👩🏼‍🤝‍👨🏻	holder hender, hudtype 1–2, hudtype 3, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 3, hudtype 1–2, par
👫🏼	holder hender, hudtype 3, kvinne, mann, mann og kvinne som leier, mann og kvinne som leier: hudtype 3, par
